table,load,metric,proposed_value,comparator,comparator_value,absolute_improvement,relative_improvement_pct,preferred_direction,status
prediction,low,mae,0.0624,Fog-only,0.1197,0.0573,47.8697,lower,calculated_from_displayed_point_estimates
prediction,low,rmse,0.0954,Fog-only,0.2105,0.1151,54.6793,lower,calculated_from_displayed_point_estimates
prediction,low,mape,0.1173,Fog-only,0.2142,0.0969,45.2381,lower,calculated_from_displayed_point_estimates
prediction,medium,mae,0.0769,DT-OPT,0.1071,0.0302,28.1979,lower,calculated_from_displayed_point_estimates
prediction,medium,rmse,0.1217,DT-OPT,0.1843,0.0626,33.9664,lower,calculated_from_displayed_point_estimates
prediction,medium,mape,0.1276,DT-OPT,0.2059,0.0783,38.0282,lower,calculated_from_displayed_point_estimates
prediction,medium,mae,0.0769,SemiGreedy,0.1422,0.0653,45.9212,lower,calculated_from_displayed_point_estimates
prediction,medium,rmse,0.1217,SemiGreedy,0.2309,0.1092,47.2932,lower,calculated_from_displayed_point_estimates
prediction,medium,mape,0.1276,SemiGreedy,0.2334,0.1058,45.3299,lower,calculated_from_displayed_point_estimates
prediction,medium,mae,0.0769,Fog-only,0.1485,0.0716,48.2155,lower,calculated_from_displayed_point_estimates
prediction,medium,rmse,0.1217,Fog-only,0.246,0.1243,50.5285,lower,calculated_from_displayed_point_estimates
prediction,medium,mape,0.1276,Fog-only,0.2501,0.1225,48.9804,lower,calculated_from_displayed_point_estimates
prediction,high,mae,0.0916,SemiGreedy,0.1674,0.0758,45.2808,lower,calculated_from_displayed_point_estimates
prediction,high,mae,0.0916,Fog-only,0.1788,0.0872,48.7696,lower,calculated_from_displayed_point_estimates
