seed,load,qos_regime,algorithm,fog_node_id,completed_tasks
10003,low,clean,DT-KF-CostAware,fog-2,65
10003,low,clean,DT-KF-CostAware,fog-3,64
10003,low,clean,DT-KF-CostAware,fog-4,64
10003,low,clean,DT-KF-CostAware,fog-5,65
10003,low,clean,DT-KF-CostAware,fog-6,51
10003,low,clean,DT-KF-CostAware,fog-7,64
10003,low,clean,DT-KF-CostAware,fog-8,64
10003,low,clean,DT-OPT,fog-1,3
10003,low,clean,DT-OPT,fog-2,27
10003,low,clean,DT-OPT,fog-3,161
10003,low,clean,DT-OPT,fog-4,198
10003,low,clean,DT-OPT,fog-5,42
10003,low,clean,DT-OPT,fog-6,4
10003,low,clean,DT-OPT,fog-7,2
10003,low,clean,DT-OPT,fog-8,1
10003,low,clean,SemiGreedy,fog-1,0
10003,low,clean,SemiGreedy,fog-2,107
10003,low,clean,SemiGreedy,fog-3,0
10003,low,clean,SemiGreedy,fog-4,123
10003,low,clean,SemiGreedy,fog-5,15
10003,low,clean,SemiGreedy,fog-6,0
10003,low,clean,SemiGreedy,fog-7,0
10003,low,clean,SemiGreedy,fog-8,5
10003,low,clean,Fog-only,fog-1,0
10003,low,clean,Fog-only,fog-2,164
10003,low,clean,Fog-only,fog-3,3
10003,low,clean,Fog-only,fog-4,177
10003,low,clean,Fog-only,fog-5,42
10003,low,clean,Fog-only,fog-6,0
10003,low,clean,Fog-only,fog-7,2
10003,low,clean,Fog-only,fog-8,50
10003,low,clean,DRL-OO,fog-1,1
10003,low,clean,DRL-OO,fog-2,2
10003,low,clean,DRL-OO,fog-3,124
10003,low,clean,DRL-OO,fog-4,230
10003,low,clean,DRL-OO,fog-5,63
10003,low,clean,DRL-OO,fog-6,3
10003,low,clean,DRL-OO,fog-7,10
10003,low,clean,DRL-OO,fog-8,5
10004,low,clean,DT-KF-CostAware,fog-1,76
10004,low,clean,DT-KF-CostAware,fog-2,75
10004,low,clean,DT-KF-CostAware,fog-3,76
10004,low,clean,DT-KF-CostAware,fog-4,75
10004,low,clean,DT-KF-CostAware,fog-5,0
10004,low,clean,DT-KF-CostAware,fog-6,77
10004,low,clean,DT-KF-CostAware,fog-7,75
10004,low,clean,DT-KF-CostAware,fog-8,0
10004,low,clean,DT-OPT,fog-1,230
10004,low,clean,DT-OPT,fog-2,8
10004,low,clean,DT-OPT,fog-3,47
10004,low,clean,DT-OPT,fog-4,2
10004,low,clean,DT-OPT,fog-5,0
10004,low,clean,DT-OPT,fog-6,8
10004,low,clean,DT-OPT,fog-7,159
10004,low,clean,DT-OPT,fog-8,0
10004,low,clean,SemiGreedy,fog-1,218
10004,low,clean,SemiGreedy,fog-2,0
10004,low,clean,SemiGreedy,fog-3,56
10004,low,clean,SemiGreedy,fog-4,0
10004,low,clean,SemiGreedy,fog-5,0
10004,low,clean,SemiGreedy,fog-6,12
10004,low,clean,SemiGreedy,fog-7,0
10004,low,clean,SemiGreedy,fog-8,0
10004,low,clean,Fog-only,fog-1,252
10004,low,clean,Fog-only,fog-2,2
10004,low,clean,Fog-only,fog-3,137
10004,low,clean,Fog-only,fog-4,0
10004,low,clean,Fog-only,fog-5,0
10004,low,clean,Fog-only,fog-6,55
10004,low,clean,Fog-only,fog-7,10
10004,low,clean,Fog-only,fog-8,0
10004,low,clean,DRL-OO,fog-1,243
10004,low,clean,DRL-OO,fog-2,0
10004,low,clean,DRL-OO,fog-3,61
10004,low,clean,DRL-OO,fog-4,0
10004,low,clean,DRL-OO,fog-5,4
10004,low,clean,DRL-OO,fog-6,8
10004,low,clean,DRL-OO,fog-7,127
10004,low,clean,DRL-OO,fog-8,11
10005,low,clean,DT-KF-CostAware,fog-1,99
10005,low,clean,DT-KF-CostAware,fog-2,99
10005,low,clean,DT-KF-CostAware,fog-3,7
10005,low,clean,DT-KF-CostAware,fog-4,99
10005,low,clean,DT-KF-CostAware,fog-5,6
10005,low,clean,DT-KF-CostAware,fog-6,99
10005,low,clean,DT-KF-CostAware,fog-7,8
10005,low,clean,DT-KF-CostAware,fog-8,7
10005,low,clean,DT-OPT,fog-1,11
10005,low,clean,DT-OPT,fog-2,31
10005,low,clean,DT-OPT,fog-3,11
10005,low,clean,DT-OPT,fog-4,220
10005,low,clean,DT-OPT,fog-5,37
10005,low,clean,DT-OPT,fog-6,114
10005,low,clean,DT-OPT,fog-7,0
10005,low,clean,DT-OPT,fog-8,1
10005,low,clean,SemiGreedy,fog-1,54
10005,low,clean,SemiGreedy,fog-2,3
10005,low,clean,SemiGreedy,fog-3,0
10005,low,clean,SemiGreedy,fog-4,184
10005,low,clean,SemiGreedy,fog-5,0
10005,low,clean,SemiGreedy,fog-6,12
10005,low,clean,SemiGreedy,fog-7,0
10005,low,clean,SemiGreedy,fog-8,0
10005,low,clean,Fog-only,fog-1,125
10005,low,clean,Fog-only,fog-2,20
10005,low,clean,Fog-only,fog-3,3
10005,low,clean,Fog-only,fog-4,217
10005,low,clean,Fog-only,fog-5,0
10005,low,clean,Fog-only,fog-6,60
10005,low,clean,Fog-only,fog-7,1
10005,low,clean,Fog-only,fog-8,0
10005,low,clean,DRL-OO,fog-1,16
10005,low,clean,DRL-OO,fog-2,3
10005,low,clean,DRL-OO,fog-3,42
10005,low,clean,DRL-OO,fog-4,138
10005,low,clean,DRL-OO,fog-5,17
10005,low,clean,DRL-OO,fog-6,208
10005,low,clean,DRL-OO,fog-7,0
10005,low,clean,DRL-OO,fog-8,2
10006,low,clean,DT-KF-CostAware,fog-1,11
10006,low,clean,DT-KF-CostAware,fog-2,127
10006,low,clean,DT-KF-CostAware,fog-3,123
10006,low,clean,DT-KF-CostAware,fog-4,11
10006,low,clean,DT-KF-CostAware,fog-5,11
10006,low,clean,DT-KF-CostAware,fog-6,11
10006,low,clean,DT-KF-CostAware,fog-7,125
10006,low,clean,DT-KF-CostAware,fog-8,10
10006,low,clean,DT-OPT,fog-1,10
10006,low,clean,DT-OPT,fog-2,51
10006,low,clean,DT-OPT,fog-3,84
10006,low,clean,DT-OPT,fog-4,0
10006,low,clean,DT-OPT,fog-5,71
10006,low,clean,DT-OPT,fog-6,1
10006,low,clean,DT-OPT,fog-7,213
10006,low,clean,DT-OPT,fog-8,2
10006,low,clean,SemiGreedy,fog-1,0
10006,low,clean,SemiGreedy,fog-2,8
10006,low,clean,SemiGreedy,fog-3,194
10006,low,clean,SemiGreedy,fog-4,0
10006,low,clean,SemiGreedy,fog-5,0
10006,low,clean,SemiGreedy,fog-6,1
10006,low,clean,SemiGreedy,fog-7,50
10006,low,clean,SemiGreedy,fog-8,0
10006,low,clean,Fog-only,fog-1,0
10006,low,clean,Fog-only,fog-2,60
10006,low,clean,Fog-only,fog-3,227
10006,low,clean,Fog-only,fog-4,0
10006,low,clean,Fog-only,fog-5,2
10006,low,clean,Fog-only,fog-6,11
10006,low,clean,Fog-only,fog-7,132
10006,low,clean,Fog-only,fog-8,0
10006,low,clean,DRL-OO,fog-1,17
10006,low,clean,DRL-OO,fog-2,121
10006,low,clean,DRL-OO,fog-3,40
10006,low,clean,DRL-OO,fog-4,1
10006,low,clean,DRL-OO,fog-5,41
10006,low,clean,DRL-OO,fog-6,7
10006,low,clean,DRL-OO,fog-7,204
10006,low,clean,DRL-OO,fog-8,1
10007,low,clean,DT-KF-CostAware,fog-1,82
10007,low,clean,DT-KF-CostAware,fog-2,2
10007,low,clean,DT-KF-CostAware,fog-3,63
10007,low,clean,DT-KF-CostAware,fog-4,82
10007,low,clean,DT-KF-CostAware,fog-5,0
10007,low,clean,DT-KF-CostAware,fog-6,64
10007,low,clean,DT-KF-CostAware,fog-7,81
10007,low,clean,DT-KF-CostAware,fog-8,82
10007,low,clean,DT-OPT,fog-1,70
10007,low,clean,DT-OPT,fog-2,0
10007,low,clean,DT-OPT,fog-3,0
10007,low,clean,DT-OPT,fog-4,22
10007,low,clean,DT-OPT,fog-5,23
10007,low,clean,DT-OPT,fog-6,178
10007,low,clean,DT-OPT,fog-7,1
10007,low,clean,DT-OPT,fog-8,163
10007,low,clean,SemiGreedy,fog-1,5
10007,low,clean,SemiGreedy,fog-2,0
10007,low,clean,SemiGreedy,fog-3,0
10007,low,clean,SemiGreedy,fog-4,142
10007,low,clean,SemiGreedy,fog-5,0
10007,low,clean,SemiGreedy,fog-6,0
10007,low,clean,SemiGreedy,fog-7,7
10007,low,clean,SemiGreedy,fog-8,101
10007,low,clean,Fog-only,fog-1,38
10007,low,clean,Fog-only,fog-2,0
10007,low,clean,Fog-only,fog-3,0
10007,low,clean,Fog-only,fog-4,201
10007,low,clean,Fog-only,fog-5,0
10007,low,clean,Fog-only,fog-6,2
10007,low,clean,Fog-only,fog-7,46
10007,low,clean,Fog-only,fog-8,170
10007,low,clean,DRL-OO,fog-1,17
10007,low,clean,DRL-OO,fog-2,2
10007,low,clean,DRL-OO,fog-3,0
10007,low,clean,DRL-OO,fog-4,89
10007,low,clean,DRL-OO,fog-5,24
10007,low,clean,DRL-OO,fog-6,92
10007,low,clean,DRL-OO,fog-7,1
10007,low,clean,DRL-OO,fog-8,232
10008,low,clean,DT-KF-CostAware,fog-1,115
10008,low,clean,DT-KF-CostAware,fog-2,17
10008,low,clean,DT-KF-CostAware,fog-3,53
10008,low,clean,DT-KF-CostAware,fog-4,2
10008,low,clean,DT-KF-CostAware,fog-5,18
10008,low,clean,DT-KF-CostAware,fog-6,115
10008,low,clean,DT-KF-CostAware,fog-7,116
10008,low,clean,DT-KF-CostAware,fog-8,6
10008,low,clean,DT-OPT,fog-1,231
10008,low,clean,DT-OPT,fog-2,2
10008,low,clean,DT-OPT,fog-3,17
10008,low,clean,DT-OPT,fog-4,0
10008,low,clean,DT-OPT,fog-5,26
10008,low,clean,DT-OPT,fog-6,129
10008,low,clean,DT-OPT,fog-7,22
10008,low,clean,DT-OPT,fog-8,19
10008,low,clean,SemiGreedy,fog-1,196
10008,low,clean,SemiGreedy,fog-2,0
10008,low,clean,SemiGreedy,fog-3,0
10008,low,clean,SemiGreedy,fog-4,0
10008,low,clean,SemiGreedy,fog-5,0
10008,low,clean,SemiGreedy,fog-6,64
10008,low,clean,SemiGreedy,fog-7,11
10008,low,clean,SemiGreedy,fog-8,0
10008,low,clean,Fog-only,fog-1,233
10008,low,clean,Fog-only,fog-2,0
10008,low,clean,Fog-only,fog-3,19
10008,low,clean,Fog-only,fog-4,0
10008,low,clean,Fog-only,fog-5,7
10008,low,clean,Fog-only,fog-6,133
10008,low,clean,Fog-only,fog-7,54
10008,low,clean,Fog-only,fog-8,0
10008,low,clean,DRL-OO,fog-1,138
10008,low,clean,DRL-OO,fog-2,3
10008,low,clean,DRL-OO,fog-3,28
10008,low,clean,DRL-OO,fog-4,23
10008,low,clean,DRL-OO,fog-5,0
10008,low,clean,DRL-OO,fog-6,215
10008,low,clean,DRL-OO,fog-7,38
10008,low,clean,DRL-OO,fog-8,1
10009,low,clean,DT-KF-CostAware,fog-1,86
10009,low,clean,DT-KF-CostAware,fog-2,87
10009,low,clean,DT-KF-CostAware,fog-3,3
10009,low,clean,DT-KF-CostAware,fog-4,3
10009,low,clean,DT-KF-CostAware,fog-5,2
10009,low,clean,DT-KF-CostAware,fog-6,85
10009,low,clean,DT-KF-CostAware,fog-7,86
10009,low,clean,DT-KF-CostAware,fog-8,86
10009,low,clean,DT-OPT,fog-1,11
10009,low,clean,DT-OPT,fog-2,136
10009,low,clean,DT-OPT,fog-3,1
10009,low,clean,DT-OPT,fog-4,0
10009,low,clean,DT-OPT,fog-5,19
10009,low,clean,DT-OPT,fog-6,67
10009,low,clean,DT-OPT,fog-7,2
10009,low,clean,DT-OPT,fog-8,205
