seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,sensitivity_type,configured_loss_pct,configured_jitter_ms
30000,high,moderate,DT-KF-CostAware,1588,1579,449.898926306441,1059.7600806668625,14.483627204030226,17.544444444444444,197.01848967298514,15.446709337604903,0.3728854321061713,0.9525288892434941,0.0,0.0,0.0,19.543093160408027,38.241562467508764,2.0901325115119107e-10,1.071756804935507e-15,0.0,85.51637279596977,0.0,95.90680100755668,4.093198992443325,186.9,339.73999999999984,507.20799999999997,1.0625,98.97810809185324,1.0734697000007145,nan,1815.6078369037364,loss,0.0,8.0
30001,high,moderate,DT-KF-CostAware,1574,1562,441.10795051807855,972.8388410557112,14.294790343074968,17.355555555555554,189.4345223852468,16.93619401674636,0.3890329847897225,0.9213537013320107,0.44472681067344344,0.0,0.0,19.259272902888437,39.9864895427327,5.034337391407462e-10,2.534153224150292e-15,0.0,85.70520965692504,0.0,93.83735705209656,5.717916137229987,185.7,312.76,476.7879999999999,1.0625,100.20901950921142,1.0602838000049815,nan,1838.1870966913227,loss,0.0,8.0
30002,high,moderate,DT-KF-CostAware,1626,1607,454.70819739530174,1011.3205055000215,16.482164821648215,17.855555555555554,193.75012199451524,16.039177099536435,0.3863002807496675,0.9222084500970037,0.6765067650676507,0.0,0.0,20.25317452639249,40.4860315354628,2.7540636438061483e-11,1.4916721197412114e-16,0.0,83.51783517835179,0.0,91.5129151291513,7.810578105781058,180.95,328.82999999999987,489.69000000000017,1.0625,98.76877861935012,1.0757447999785654,nan,1862.8953633240249,loss,0.0,8.0
30003,high,moderate,DT-KF-CostAware,1611,1581,448.7445308240708,970.5556372909878,15.021725636250777,17.566666666666666,213.9866388034492,18.62143657898103,0.40462828469821915,0.9191930961091821,1.303538175046555,0.0,0.0,20.39229646343724,40.896176013332735,4.260414243617561e-11,3.6297322877916884e-16,0.0,84.97827436374922,0.0,85.97144630664184,12.725015518311608,184.4,356.94999999999993,539.3029999999998,1.09375,99.18602619100119,1.1027259000111371,nan,1781.0409640148694,loss,0.0,8.0
30004,high,moderate,DT-KF-CostAware,1616,1600,444.99825594369065,1014.8881030081516,15.841584158415841,17.77777777777778,190.0095770911175,16.15857060023563,0.380332956734072,0.9242920800736462,0.24752475247524752,0.0,0.0,19.71705152955106,38.08309449704656,1.4381384971784428e-11,1.0136487539089684e-16,0.0,84.15841584158416,0.0,93.37871287128714,6.373762376237623,185.2,307.2799999999999,510.48599999999914,1.03125,97.2260431732665,1.0606725999969058,nan,1851.655261016198,loss,0.0,8.0
30005,high,moderate,DT-KF-CostAware,1638,1626,447.848356448589,1047.522682610272,14.835164835164836,18.066666666666666,180.45520273087334,16.820162365400922,0.3912231133653604,0.9096892439087978,0.3052503052503053,0.0,0.0,19.696618596181317,38.88785370061794,9.00968188943807e-12,7.97399191105815e-17,0.0,85.16483516483517,0.0,91.08669108669109,8.608058608058608,181.6,313.125,459.65,1.03125,98.63914801482704,1.0454773999517784,nan,1890.0456385677405,loss,0.0,8.0
30006,high,moderate,DT-KF-CostAware,1607,1587,460.4405884290845,1049.9147913323661,14.996888612321095,17.633333333333333,201.1983883206249,18.628654959062914,0.40085479221313125,0.9050035739162464,0.7467330429371499,0.0,0.0,20.818871103347814,40.531354331305806,2.8961721909581684e-11,1.4368671089358682e-16,0.0,85.0031113876789,0.0,88.0522713130056,11.20099564405725,183.1,335.5,462.7,1.078125,100.46227789962427,1.0731640000012703,nan,1817.9886764722733,loss,0.0,8.0
30007,high,moderate,DT-KF-CostAware,1598,1575,461.8989822387517,1043.9942454845927,15.644555694618273,17.5,205.67618265541046,17.860589823505723,0.40371475361753034,0.9204407919312664,1.0012515644555695,0.0,0.0,20.622138423702136,39.96122201041462,8.236611392931081e-11,4.758442831940925e-16,0.0,84.35544430538172,0.0,88.29787234042553,10.700876095118899,187.2,323.1899999999999,481.01599999999996,1.078125,100.93168428644039,1.0681730000069365,nan,1818.993739766295,loss,0.0,8.0
30008,high,moderate,DT-KF-CostAware,1645,1627,465.06744646668034,1024.2659817131348,16.048632218844986,18.07777777777778,222.94609048925048,19.199260351861884,0.3957715476643684,0.9467337231705976,0.729483282674772,0.0,0.0,20.378594213535894,39.21431481962745,1.610089839232387e-10,5.252672700223197e-16,0.0,83.95136778115501,0.0,89.17933130699087,10.091185410334347,179.5,306.6,454.1,1.03125,98.38970987686646,1.04812790005235,nan,1890.0365116710057,loss,0.0,8.0
30009,high,moderate,DT-KF-CostAware,1702,1683,449.6634214839519,1015.8612634112881,17.09753231492362,18.7,201.53971390578624,18.298293328759804,0.3834283865046601,0.9399132549328699,0.5287896592244419,0.0,0.0,19.39634825415182,37.56606669262786,4.760636329592671e-10,2.2376029533880635e-15,0.0,82.90246768507637,0.0,93.83078730904818,5.640423031727379,192.14999999999998,330.15000000000003,498.5250000000001,1.15625,94.6330439509137,1.2218248000135645,nan,1682.7289804374363,loss,0.0,8.0
