qos_regime,load,algorithm,mean_latency_ms_n,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_n,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,throughput_tasks_s_n,throughput_tasks_s_mean,throughput_tasks_s_sd,throughput_tasks_s_ci95,energy_j_n,energy_j_mean,energy_j_sd,energy_j_ci95,monetary_cost_n,monetary_cost_mean,monetary_cost_sd,monetary_cost_ci95,run_cost_index_n,run_cost_index_mean,run_cost_index_sd,run_cost_index_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95,network_failure_rate_pct_n,network_failure_rate_pct_mean,network_failure_rate_pct_sd,network_failure_rate_pct_ci95,mean_packet_loss_pct_n,mean_packet_loss_pct_mean,mean_packet_loss_pct_sd,mean_packet_loss_pct_ci95,mean_jitter_ms_n,mean_jitter_ms_mean,mean_jitter_ms_sd,mean_jitter_ms_ci95,p95_jitter_ms_n,p95_jitter_ms_mean,p95_jitter_ms_sd,p95_jitter_ms_ci95,retransmission_overhead_pct_n,retransmission_overhead_pct_mean,retransmission_overhead_pct_sd,retransmission_overhead_pct_ci95,retransmission_energy_j_n,retransmission_energy_j_mean,retransmission_energy_j_sd,retransmission_energy_j_ci95,sla_success_pct_n,sla_success_pct_mean,sla_success_pct_sd,sla_success_pct_ci95,decision_median_us_n,decision_median_us_mean,decision_median_us_sd,decision_median_us_ci95,decision_p95_us_n,decision_p95_us_mean,decision_p95_us_sd,decision_p95_us_ci95
clean,high,DRL-OO,30,383.59440829426546,11.225164395246244,4.191540590052005,30,872.9970502468182,45.733989415766196,17.07733323374527,30,8.571136479618575,0.8812186971741237,0.32905210185450107,30,17.835925925925928,0.36443280204435935,0.1360812927392152,30,276.370910046337,25.47784805964104,9.51357419178541,30,21.960860457023724,1.6728754881327268,0.6246612756585439,30,0.36499438582930055,0.009855009843408386,0.003679917043486841,30,0.785377247376336,0.04005711877670299,0.014957557266973258,30,0.401606420984033,0.304318238201898,0.11363417076159345,30,0.0,0.0,0.0,30,0.11707186949148006,0.004940879659561525,0.0018449527253591867,30,3.8717666147263197,0.19541923981241743,0.07297066189050552,30,7.674444701602142,0.4498972488472279,0.16799420600864318,30,0.13013338591246076,0.04535042521707763,0.01693410816807276,30,0.005798798748226403,0.002188793962459131,0.0008173081848844456,30,91.42886352038143,0.8812186971741242,0.32905210185450123,30,274.59833333333336,19.674206303639313,7.346461164852472,30,496.8861666666665,95.32624106541134,35.595363653824585
clean,high,DT-KF-CostAware,30,388.2280472925003,12.637734402646544,4.719002310328979,30,757.734715878696,24.870709895748195,9.28686532872375,30,9.361065863988177,1.2699140566232798,0.47419317230385305,30,17.825555555555557,0.36755552312517475,0.1372473346519013,30,225.05951142233118,18.67447968723481,6.973157528124495,30,19.518876744388876,1.4922606654052197,0.5572186677847565,30,0.41899295311956825,0.012155499367804756,0.004538932990066685,30,0.9310871733357059,0.026235910574357976,0.009796639070690753,30,0.43471070534921036,0.2651668630956062,0.09901482336175753,30,0.0,0.0,0.0,30,0.12125916219943535,0.003992353962539479,0.0014907678047838605,30,3.7738014206064703,0.16512846238758458,0.06165991234511923,30,7.446359347347065,0.36386132691087913,0.13586790065569238,30,0.12183602772037212,0.03484474383036011,0.013011226648651203,30,0.005516276448537662,0.0022673491078469593,0.0008466411254861851,30,90.63893413601183,1.2699140566232803,0.4741931723038532,30,197.91833333333335,15.619337502691605,5.83234996183922,30,374.2629999999999,151.26630274977373,56.48370264860279
clean,high,DT-OPT,30,440.2995503675009,14.84087033313722,5.5416658681085345,30,1006.9425357179565,56.27834294284638,21.0146551515723,30,13.921426771686079,1.6879955274581502,0.6303071848251423,30,17.80740740740741,0.3633055437523445,0.13566036804536805,30,188.67513704719224,19.32729715509042,7.216923304558964,30,17.44146675923023,1.5837637573100332,0.5913864456746473,30,0.38392140332224495,0.010994411292825993,0.004105376061763715,30,0.9279075715807193,0.022742386494043955,0.008492137197100232,30,0.4859420656218155,0.3648352527373845,0.13623157012989856,30,0.0,0.0,0.0,30,0.1215592772222531,0.0038792301711695677,0.0014485267340492202,30,3.7700497747773216,0.15247926873363662,0.05693663108481052,30,7.485934149850303,0.34536533703902683,0.1289613922455446,30,0.12705519880370522,0.039796240596517,0.014860143862340044,30,0.006006910279749976,0.0024910142231713943,0.0009301589588515526,30,86.07857322831391,1.687995527458149,0.6303071848251419,30,201.84,61.225737488694094,22.862040572734116,30,389.52766666666656,269.28865686936325,100.55392473241032
clean,high,Fog-only,30,632.5791603972045,204.94419156931124,76.52733335664593,30,1399.1907115173517,487.76711718128644,182.13503144985927,30,43.39489497172742,19.065669090866084,7.1192298889367,30,17.815555555555555,0.35444750716316925,0.13235272651742594,30,117.88696491697435,12.766468363415871,4.767072307603256,30,13.955071337752342,0.8400912115303578,0.3136948634771611,30,0.41787526691486626,0.023792104836359313,0.008884108030222307,30,0.9851828341076655,0.010882279505506541,0.004063505411015508,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.12386785125755814,0.0038371839524666395,0.0014328264354926876,30,3.728101971304668,0.13697908422867763,0.05114877353384718,30,7.328493009002257,0.29986086686002084,0.11196976280759278,30,0.15407764348869532,0.03865159292768233,0.0144327258757259,30,0.00965364488227367,0.003248346978310858,0.0012129513413566414,30,56.60510502827258,19.065669090866084,7.1192298889367,30,22.873333333333335,2.3030614307966233,0.8599763111402994,30,38.61649999999999,7.9723539713705405,2.9769225725917647
clean,high,SemiGreedy,30,310.3478911718197,12.95150350121212,4.8361654864067045,30,533.4094840604828,34.50860087008069,12.885708944637166,30,1.2544592229372726,1.0766908662977208,0.40204252785254224,30,17.922592592592594,0.38052285659035356,0.14208941113739623,30,369.10663435545683,14.228994491996042,5.31318792926413,30,26.811749004235175,1.0596206436328135,0.39566840907246575,30,0.34947631594066303,0.010527212598722236,0.0039309213971367545,30,0.6647611086819596,0.03579636622514137,0.013366567893882082,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.11554855702189311,0.005405811307930912,0.002018560862142053,30,3.9365005352061178,0.2319213818773325,0.08660077051980367,30,7.810255998562705,0.551711847913153,0.2060123596514909,30,0.11647792920439043,0.033271599557020026,0.012423805579031477,30,0.0039247442572658406,0.0018030232996652114,0.0006732592128946231,30,98.74554077706271,1.0766908662977202,0.402042527852542,30,219.19833333333332,25.12454660195927,9.38164940669943,30,410.2316666666665,120.85246363982858,45.127001166116415
clean,low,DRL-OO,30,232.4289976991873,13.323226726744469,4.974969064975561,30,541.6749640216893,72.66226237856075,27.132504380401546,30,0.31695779844810207,0.30456445559127815,0.11372610974308403,30,4.972222222222222,0.2305295881605098,0.08608106678526307,30,85.85198573172569,10.287225996332639,3.841309027146817,30,3.914034756178109,0.3807376073175336,0.14216960028724063,30,0.25075949582680734,0.008912730010819096,0.00332806436441534,30,0.3706179035009422,0.03474304025967323,0.012973249953640143,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.07803186535385628,0.004458834905246867,0.0016649544569340756,30,2.3365220805684768,0.1484725444230907,0.05544049730988661,30,4.501374925069801,0.3706054945271588,0.13838621141840352,30,0.11182188724155583,0.05533529040048988,0.020662513938254034,30,0.0010527201920942353,0.0006224191485790742,0.00023241487014654712,30,99.6830422015519,0.30456445559127854,0.11372610974308417,30,294.97666666666663,19.822312981940904,7.401765045659936,30,594.6801666666665,92.40600348539955,34.50493023848874
clean,low,DT-KF-CostAware,30,217.46878283159074,9.657431931528642,3.606140321099382,30,461.83146738273155,39.7689213961955,14.84994271668165,30,0.12520802664775155,0.18163895341874423,0.06782502413164261,30,4.972222222222222,0.23032636440969625,0.08600518187432508,30,109.43829878106656,15.264282390935968,5.699770352291633,30,4.142469849832043,0.3155519779298131,0.11782891342991254,30,0.2729379215873657,0.0076888080045831204,0.0028710448867880424,30,0.6268931006145139,0.13122442867735615,0.04899995223592953,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.07822561551816125,0.003449067283866517,0.001287901451516318,30,2.376270238867489,0.1351308498272769,0.05045863223696939,30,4.661222055685922,0.3438276399074493,0.12838720734140696,30,0.08899735147655298,0.05680957875210447,0.021213021641272655,30,0.0006564394350995453,0.00043686182421262743,0.00016312670389102333,30,99.87479197335226,0.18163895341874478,0.06782502413164282,30,228.68166666666667,15.469728411528006,5.77648507147569,30,433.6266666666666,53.263538400940924,19.888909891768233
clean,low,DT-OPT,30,224.37894255077256,12.237961830253811,4.56972494520787,30,491.314946066722,56.27263525807032,21.012523869430527,30,0.40371084768113275,0.3188163695909822,0.11904785594761964,30,4.972222222222222,0.2305295881605098,0.08608106678526307,30,96.58757813237658,14.625878101275957,5.461386539034835,30,3.6222463663104323,0.32396243494047916,0.12096942618320669,30,0.2492315985644848,0.008535965095223518,0.003187378189939786,30,0.38346956113114267,0.035946603634957636,0.01342266740202433,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.07887674637005822,0.0041690239551609,0.0015567373905326868,30,2.3697222124433486,0.15087118298654745,0.05633616266903722,30,4.620865010426652,0.35058468555023914,0.1309103268328758,30,0.09079281739988881,0.06351097609711408,0.023715361740057315,30,0.0008087586842682546,0.0005469625053256881,0.00020423892796439224,30,99.59628915231886,0.3188163695909811,0.11904785594761924,30,223.91833333333335,14.589288012533158,5.447723590612983,30,434.17483333333325,53.422932204401626,19.948428449669375
clean,low,Fog-only,30,213.48296944493163,10.650228680209004,3.976856305582219,30,461.7467206528808,53.127317193985434,19.83804411394304,30,0.0,0.0,0.0,30,4.973333333333333,0.2303790350425652,0.08602484938989995,30,111.08469364233133,17.429664760356992,6.508336514427747,30,3.9307408315522645,0.3928826251858324,0.14670461942544047,30,0.25163853199615915,0.01112975130184522,0.004155912795239291,30,0.33699744419604133,0.022196886360656476,0.008288444327181935,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.07814336610030638,0.004959829120034743,0.0018520285622856123,30,2.368116843775948,0.16736368532679163,0.06249455737548238,30,4.672252467219598,0.35447248652580415,0.13236205395430892,30,0.10131214902179268,0.06361085895442757,0.02375265857028077,30,0.0008931012151887301,0.0005344630321020249,0.0001995715531691117,30,100.0,0.0,0.0,30,24.33833333333333,1.705350774582114,0.6367877333684923,30,44.758333333333326,5.3217903283435115,1.9871869477871185
clean,low,SemiGreedy,30,167.18364854829542,4.242355528784196,1.5841198195601496,30,274.85053049790497,17.940364360406438,6.699034666148101,30,0.0,0.0,0.0,30,4.975925925925925,0.23158592790515042,0.08647551008788601,30,234.68103913404047,15.84510011710773,5.916651013362544,30,8.396198424662874,0.5421225760656824,0.2024316706956358,30,0.2703818635808081,0.008288037245228481,0.0030948005126722167,30,0.21709482608695474,0.02567021011546075,0.009585403283686783,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.07131638605014629,0.004851859372267814,0.0018117120409120444,30,2.5756772012810796,0.2133400115235538,0.0796623805493516,30,5.1164335150618525,0.48257311482909504,0.1801955612632796,30,0.06778747327468514,0.04721485228377728,0.017630295898790775,30,0.00037634047041735336,0.00037036876616399145,0.0001382978156935754,30,100.0,0.0,0.0,30,230.39,14.31763682099567,5.3462874819224435,30,465.54333333333324,59.73153349511597,22.30409625509429
