seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s
20000,high,impaired,Full-QoS,1670,1626,502.96885053479417,1129.088429588356,25.808383233532933,18.066666666666666,216.9038443943116,17.855326607251513,0.4236229968147423,0.9218414371404484,2.155688622754491,0.0,5.665273916811666,61.84192826764718,122.23626044119173,1262899.9999999995,6.497244420326078,0.3590773444866493,74.19161676646706,0.0,90.95808383233533,6.88622754491018,179.4,304.5,470.3420000000001,1.078125,100.0019478626627,1.0781040000147186,nan,1906.1240844778838
20000,high,impaired,No-QoS-awareness,1670,1663,503.52501731310434,1071.2873564978418,27.904191616766468,18.477777777777778,202.3056925877906,17.27105838301263,0.4115521766435747,0.950660709192889,0.059880239520958084,0.0,5.648769020227424,60.22487130453128,119.80452517715969,1192819.9999999995,6.131858764604364,0.32067004618296985,72.09580838323353,0.0,96.16766467065868,3.7724550898203595,177.8,306.45,455.6560000000001,1.09375,100.34340149406282,1.0900069000199437,nan,1885.3091663570203
20000,high,impaired,Loss-only,1670,1660,513.6962486391587,1089.8408178031716,28.562874251497007,18.444444444444443,199.37584709522068,17.066693366892977,0.41391847471482507,0.9550135154445212,0.23952095808383234,0.0,5.652005412142352,60.94910409980528,120.00873008295984,1208879.9999999995,6.214656416452304,0.34356180446669,71.437125748503,0.0,96.2874251497006,3.4730538922155687,191.6,356.40999999999997,501.9380000000002,1.15625,98.67544904302171,1.1717707000207156,nan,1753.7560889375966
20000,high,impaired,Jitter-only,1670,1626,502.96885053479417,1129.088429588356,25.808383233532933,18.066666666666666,216.9038443943116,17.855326607251513,0.4236229968147423,0.9218414371404484,2.155688622754491,0.0,5.665273916811666,61.84192826764718,122.23626044119173,1262899.9999999995,6.497244420326078,0.3590773444866493,74.19161676646706,0.0,90.95808383233533,6.88622754491018,190.2,359.91999999999973,518.3420000000001,1.171875,99.65147176693225,1.1759736000094563,nan,1747.4882089049238
20001,high,impaired,Full-QoS,1663,1605,513.007271509406,1090.71819564493,26.75886951292844,17.833333333333332,208.44384061644243,18.2884024133063,0.43089737307333864,0.9272079456505686,3.0667468430547205,0.0,5.97626032082407,61.902175074634506,126.3109565461607,986960.0,6.546637028059214,0.2825228932261571,73.24113048707156,0.0,86.65063138905592,10.282621767889356,185.6,337.17999999999995,504.216,1.078125,98.91296429823755,1.0899733999976888,nan,1821.145360064942
20001,high,impaired,No-QoS-awareness,1663,1650,526.2876547427526,1120.0488677898124,31.7498496692724,18.333333333333332,183.44975992490606,17.220381067051967,0.41916118777508826,0.9554782557841796,0.30066145520144316,0.0,5.964761185015421,61.1031623728697,123.2812077403889,1064340.0,7.049844161444174,0.31520293418425516,68.2501503307276,0.0,93.98677089597113,5.71256764882742,180.8,386.3,626.3240000000012,1.140625,99.08695362892364,1.1511353999958374,nan,1724.384464249104
20001,high,impaired,Loss-only,1663,1650,526.2876547427526,1120.0488677898124,31.7498496692724,18.333333333333332,183.44975992490606,17.220381067051967,0.41916118777508826,0.9554782557841796,0.30066145520144316,0.0,5.964761185015421,61.1031623728697,123.2812077403889,1064340.0,7.049844161444174,0.31520293418425516,68.2501503307276,0.0,93.98677089597113,5.71256764882742,208.2,490.94,724.9360000000024,1.359375,100.07907673694969,1.3583008999703452,nan,1461.3845872025388
20001,high,impaired,Jitter-only,1663,1605,513.007271509406,1090.71819564493,26.75886951292844,17.833333333333332,208.44384061644243,18.2884024133063,0.43089737307333864,0.9272079456505686,3.0667468430547205,0.0,5.97626032082407,61.902175074634506,126.3109565461607,986960.0,6.546637028059214,0.2825228932261571,73.24113048707156,0.0,86.65063138905592,10.282621767889356,190.4,348.71999999999997,467.716,1.125,100.15588707432002,1.1232489999965765,nan,1767.194985266891
20002,high,impaired,Full-QoS,1586,1513,515.5558482830581,1182.9280205654425,25.91424968474149,16.81111111111111,246.83255022464564,19.328711233374282,0.4506998143369102,0.87766323882874,4.224464060529634,0.0,6.3444348219253754,60.93193002601465,122.1238903345907,2057140.0,7.4646108270494445,0.4250460334851242,74.08575031525851,0.0,80.5170239596469,15.258511979823455,195.7,397.2949999999999,676.1949999999995,1.140625,98.70016479926875,1.1556465000030585,nan,1661.4077055526225
20002,high,impaired,No-QoS-awareness,1586,1576,533.2551253124446,1231.2247424044358,29.44514501891551,17.511111111111113,227.1555526351093,18.626886141212616,0.43470695773849255,0.9183102310600547,0.31525851197982346,0.0,6.352220323211295,59.97377881431377,123.00887899166713,2051300.0,7.433726388641507,0.40937073313929634,70.55485498108449,0.0,88.77679697351829,10.907944514501892,189.8,382.67499999999995,537.0009999999999,1.1875,99.0165055304539,1.1992949999985285,nan,1600.940552576602
