algorithm,mean_latency_ms_n,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_n,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,throughput_tasks_s_n,throughput_tasks_s_mean,throughput_tasks_s_sd,throughput_tasks_s_ci95,energy_j_n,energy_j_mean,energy_j_sd,energy_j_ci95,monetary_cost_n,monetary_cost_mean,monetary_cost_sd,monetary_cost_ci95,run_cost_index_n,run_cost_index_mean,run_cost_index_sd,run_cost_index_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95,network_failure_rate_pct_n,network_failure_rate_pct_mean,network_failure_rate_pct_sd,network_failure_rate_pct_ci95,mean_packet_loss_pct_n,mean_packet_loss_pct_mean,mean_packet_loss_pct_sd,mean_packet_loss_pct_ci95,mean_jitter_ms_n,mean_jitter_ms_mean,mean_jitter_ms_sd,mean_jitter_ms_ci95,p95_jitter_ms_n,p95_jitter_ms_mean,p95_jitter_ms_sd,p95_jitter_ms_ci95,retransmission_overhead_pct_n,retransmission_overhead_pct_mean,retransmission_overhead_pct_sd,retransmission_overhead_pct_ci95,retransmission_energy_j_n,retransmission_energy_j_mean,retransmission_energy_j_sd,retransmission_energy_j_ci95,sla_success_pct_n,sla_success_pct_mean,sla_success_pct_sd,sla_success_pct_ci95,decision_median_us_n,decision_median_us_mean,decision_median_us_sd,decision_median_us_ci95,decision_p95_us_n,decision_p95_us_mean,decision_p95_us_sd,decision_p95_us_ci95
Full-QoS,20,474.6420855971468,14.178733263230189,6.635811780777422,20,942.6626140182782,44.4980820444028,20.825619014781978,20,23.552376071544973,2.814540088834857,1.3172374380859004,20,17.362222222222222,0.531642055196728,0.24881465413980502,20,238.9768428954475,16.616621060843972,7.776771573678804,20,19.813741760715946,1.0389622144462776,0.48624637860170444,20,0.48512263045413145,0.014348997474429439,0.006715497408368061,20,0.93854632942228,0.02496100147685039,0.011682038485739258,20,3.055426429596938,1.5709712922860644,0.7352328035995548,20,0.01855826865790708,0.03520560844397398,0.016476633485150775,20,6.008684597040076,0.24736721849671267,0.11577073016356802,20,61.67488550648791,1.8902281432936134,0.8846487164091844,20,122.41055141481279,4.246675500213194,1.987493437550823,20,6.9529990466226455,0.5820234947883829,0.27239375279185657,20,0.28972188363874285,0.041670773018567794,0.01950240556593401,20,76.44762392845503,2.814540088834857,1.3172374380859004,20,459.93999999999994,80.86858833284633,37.84743821548462,20,932.19525,147.97418139373082,69.25363485677929
Jitter-only,20,474.1657172688253,13.642076567069159,6.384650216446875,20,941.5645846952772,43.67090961536801,20.43849271460974,20,23.516499053078817,2.7765610023045064,1.2994627846565399,20,17.355,0.5379487790569739,0.2517662741267936,20,238.74543684330396,16.51838610055778,7.730796471767423,20,19.797449398959408,1.0338450871214742,0.4838515036043923,20,0.48515619847404395,0.014447873894335054,0.0067617727208286104,20,0.9395562865602483,0.025272192266942464,0.011827679388394335,20,3.08684476933365,1.5971187912801728,0.7474701366984808,20,0.015454606336367662,0.03387862554005314,0.01585559007998539,20,6.007795969270129,0.24924141030483546,0.1166478736889371,20,61.67901371112775,1.8858991289193523,0.8826226874226335,20,122.64113033540123,4.243346148536437,1.9859352623126816,20,6.952130821729098,0.5783777534845744,0.27068750353500526,20,0.2898005930623108,0.04127775034549238,0.019318466391983268,20,76.48350094692118,2.776561002304507,1.29946278465654,20,456.27250000000004,34.979454402022306,16.370790767893006,20,949.0024999999999,125.9013562748317,58.92329643798167
Loss-only,20,477.281878863394,12.74467721027455,5.9646568987558775,20,930.310321127193,28.528605425334376,13.351718553132295,20,27.079788849179703,3.1742223909951712,1.485572931370214,20,17.84388888888889,0.40472317045649037,0.18941514256661604,20,236.06591342752523,17.417903964749016,8.151781275515686,20,19.829064767577655,1.1260983402584532,0.5270270971229589,20,0.47389415402151486,0.00944080985222993,0.004418408617642238,20,0.9406081012049542,0.022608080095901473,0.010580843962288098,20,0.3807040371171396,0.3016591209241068,0.1411799708228033,20,0.015564696764516142,0.027663806417656537,0.012946982577314534,20,6.052375663610929,0.2606880347903642,0.12200502684225781,20,61.74616795979193,2.425872466996431,1.1353364786757512,20,122.56902874107638,5.840244981616813,2.733302456019966,20,6.886825376899784,0.5561099428127845,0.26026590961369317,20,0.2852234784219088,0.03834203885062431,0.01794451932908668,20,72.9202111508203,3.1742223909951717,1.4855729313702142,20,473.0475,37.46443041142666,17.53378839060151,20,945.3502499999998,110.06728176169283,51.51276573391107
No-QoS-awareness,20,477.8289192202866,12.179991775411434,5.700377559302078,20,932.6790215253343,26.701327166599643,12.496531113538135,20,27.12693700116044,3.143508344766365,1.4711984011483215,20,17.842777777777776,0.4111707717102125,0.19243269480932304,20,235.5474177434882,17.041120826217657,7.975442392270833,20,19.804104215463415,1.115824493564863,0.522218817592091,20,0.4738986098717426,0.009047487441714155,0.0042343291630894874,20,0.940422483480418,0.023032944605245208,0.010779685485292746,20,0.3750102766194918,0.29819345082148896,0.13955799697871674,20,0.015564696764516142,0.027663806417656537,0.012946982577314534,20,6.051209066331363,0.2602434662944876,0.12179696362479461,20,61.78209423917396,2.4708551024068215,1.1563888742914283,20,122.76451658568729,5.946306811669818,2.782940623851343,20,6.857308693310536,0.5783677784043647,0.2706828350816575,20,0.2845107987726013,0.0389413903637786,0.01822502279565023,20,72.87306299883957,3.1435083447663645,1.4711984011483212,20,456.50249999999994,35.82328144407005,16.765711620313592,20,935.2339999999998,178.2257475979329,83.41171905781312
