seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,task_count,fog_nodes,policy_seed
40000,high,moderate,DT-KF-CostAware,50,48,343.0018100995741,570.5557404430967,0.0,0.5333333333333333,3.4971716755880387,0.36055837760974807,0.3158459306493687,0.2,0.0,0.0,1.5969390509578025,19.484458183126424,34.14173139679392,4380.0,1.7827198280774303,0.0026301292547698195,100.0,0.0,100.0,0.0,715.05,1069.1599999999996,1424.301,0.109375,100.26658306373422,0.10908419999759644,60.9013671875,458.36152257707073,50,5,
40000,high,moderate,DT-OPT,50,48,343.0018100995741,570.5557404430967,0.0,0.5333333333333333,3.4971716755880387,0.36055837760974807,0.3158459306493687,0.2,0.0,0.0,1.5969390509578025,19.484458183126424,34.14173139679392,4380.0,1.7827198280774303,0.0026301292547698195,100.0,0.0,100.0,0.0,704.1500000000001,1101.1899999999998,1370.6769999999992,0.109375,101.41597563454675,0.10784790001343936,57.4140625,463.61588861507084,50,5,
40000,high,moderate,SemiGreedy,50,49,272.3484637118105,351.7362410132996,0.0,0.5444444444444444,14.032007004770053,0.9502972831287779,0.3240301586076926,0.2,0.0,0.0,1.5780324581617737,20.294175722739332,36.82842873841708,7300.0,2.9711997134623838,0.0024078261352974695,100.0,0.0,42.0,58.0,712.2,1255.3349999999998,1442.0109999999997,0.109375,103.27535125097575,0.10590619995491579,58.359375,472.115891433032,50,5,
40000,high,moderate,Fog-only,50,48,343.0018100995741,570.5557404430967,0.0,0.5333333333333333,3.4971716755880387,0.36055837760974807,0.3158459306493687,0.2,0.0,0.0,1.5969390509578025,19.484458183126424,34.14173139679392,4380.0,1.7827198280774303,0.0026301292547698195,100.0,0.0,100.0,0.0,80.35,133.0849999999999,203.36799999999994,0.0625,92.17174328816458,0.06780819996492937,54.640625,737.3739463053166,50,5,
40000,high,moderate,DRL-OO-2025,50,48,339.66646687218724,570.5557404430967,0.0,0.5333333333333333,3.9367029683732584,0.3847652147248938,0.31612693559780514,0.2,0.0,0.0,1.5866712653657107,19.72075137155295,34.14173139679392,4380.0,1.7827198280774303,0.0026301292547698195,100.0,0.0,98.0,2.0,993.0,1595.3649999999993,1822.279,0.125,104.00251599378367,0.12018940004054457,55.2841796875,416.0100639751347,50,5,501
40001,high,moderate,DT-KF-CostAware,50,49,367.14796664061686,790.5671169650662,0.0,0.5444444444444444,4.980521643960541,0.3534980107454117,0.3291170801371562,0.2083297180043384,0.0,0.0,1.8639933389743246,18.379736257263623,34.73302468413533,1460.0,0.5889020204179591,0.00032579070065856926,100.0,0.0,100.0,0.0,160.65,275.78499999999997,317.6409999999999,0.03125,137.63791314953988,0.022704500006511807,nan,2202.206610392638,50,5,
40001,high,moderate,DT-OPT,50,49,367.14796664061686,790.5671169650662,0.0,0.5444444444444444,4.980521643960541,0.3534980107454117,0.3291170801371562,0.2083297180043384,0.0,0.0,1.8639933389743246,18.379736257263623,34.73302468413533,1460.0,0.5889020204179591,0.00032579070065856926,100.0,0.0,100.0,0.0,161.2,270.895,302.1329999999999,0.015625,64.9696253872794,0.024049700004979968,nan,2079.0280123929406,50,5,
40001,high,moderate,SemiGreedy,50,49,274.30344642562716,380.8810928662696,0.0,0.5444444444444444,14.754251933358494,0.9702609827127009,0.33062063613290676,0.2,0.0,0.0,1.6524304227764761,21.61480767583034,47.0178065018683,1460.0,0.5889020204179591,0.00011396073705208892,100.0,0.0,48.0,52.0,166.95,324.1099999999997,383.44599999999997,0.03125,133.04099800061678,0.023488999984692782,nan,2128.6559680098685,50,5,
40001,high,moderate,Fog-only,50,49,365.1579753627035,790.5671169650662,0.0,0.5444444444444444,5.005838995946618,0.35312805843071293,0.3268633533704154,0.2,0.0,0.0,1.8693232267009936,17.859523642028876,31.135377269096104,0.0,0.0,0.0,100.0,0.0,100.0,0.0,17.45,33.63499999999999,43.58899999999999,0.015625,105.15937124694487,0.014858399983495474,nan,3365.099879902236,50,5,
40001,high,moderate,DRL-OO-2025,50,49,352.0266283054331,790.5671169650662,0.0,0.5444444444444444,6.246947810905654,0.43432137902315465,0.3262557119963152,0.20888450148075025,0.0,0.0,1.835209584125248,17.63631236422324,30.33121052352649,0.0,0.0,0.0,100.0,0.0,94.0,6.0,207.75,474.5999999999999,580.0899999999998,0.03125,114.21282709707154,0.027361199958249927,nan,1827.4052335531446,50,5,502
40002,high,moderate,DT-KF-CostAware,50,49,317.8585531302352,632.2655376359937,0.0,0.5444444444444444,3.612775556934151,0.3349760785317768,0.3313608350393137,0.5538638985005767,0.0,0.0,1.5745084688239053,18.918629679700132,35.427195431116616,1460.0,1.2072600983999668,0.0003905501350863068,100.0,0.0,100.0,0.0,166.05,311.55499999999995,428.054,0.03125,129.8766066439168,0.02406130003510043,nan,2078.025706302669,50,5,
40002,high,moderate,DT-OPT,50,49,316.81787735917595,632.2655376359937,0.0,0.5444444444444444,3.6257223583323115,0.3371163154257106,0.330245937835087,0.5525891829689298,0.0,0.0,1.577687601000601,18.350931679925505,35.427195431116616,1460.0,1.2072600983999668,0.0003905501350863068,100.0,0.0,100.0,0.0,165.75,356.0699999999996,478.152,0.015625,64.93398554244673,0.02406289998907596,nan,2077.8875373582955,50,5,
40002,high,moderate,SemiGreedy,50,49,256.0804131683167,359.95920862190985,0.0,0.5444444444444444,11.188623621369157,0.7755262381615678,0.33552979541848865,0.2,0.0,0.0,1.5103010855740704,21.49254413965485,43.48796412843509,2920.0,2.4145201967999337,0.0013153278232216749,100.0,0.0,56.0,44.0,172.45,290.1499999999999,352.635,0.03125,128.42272232443665,0.02433370001381263,nan,2054.7635571909864,50,5,
40002,high,moderate,Fog-only,50,49,306.1267789923867,589.3523351416542,0.0,0.5444444444444444,3.5727386167854576,0.36711629625226055,0.3473389823560675,0.2,0.0,0.0,1.5658917725229058,18.643420379274897,40.2613254901873,4380.0,3.6217802951999007,0.0022116599373466356,100.0,0.0,100.0,0.0,17.35,24.964999999999993,40.43799999999999,0.015625,114.36748366114782,0.013662100012879819,nan,3659.75947715673,50,5,
40002,high,moderate,DRL-OO-2025,50,49,304.613677715153,602.2220226063158,0.0,0.5444444444444444,4.415160211194931,0.409867243409267,0.3268548331414635,0.3983769161406673,0.0,0.0,1.587518794591758,17.26914397522898,36.357532984409474,1460.0,1.2072600983999668,0.0003497579618844558,100.0,0.0,96.0,4.0,209.45,313.3449999999998,517.3359999999996,0.03125,120.76501251677168,0.025876700005028397,nan,1932.2402002683468,50,5,503
40003,high,moderate,DT-KF-CostAware,50,49,372.06274328754444,662.3743026865856,2.0,0.5444444444444444,4.3087248477587,0.3267141119429014,0.3472450906246044,0.2,0.0,0.0,1.9799262496171186,17.67490655447602,36.23325450308598,8760.0,4.503925510419184,0.004530701838927082,98.0,0.0,100.0,0.0,165.35,232.75499999999994,423.41199999999935,0.03125,133.75449938613846,0.023363700020127,nan,2140.0719901782154,50,5,
40003,high,moderate,DT-OPT,50,49,372.06274328754444,662.3743026865856,2.0,0.5444444444444444,4.3087248477587,0.3267141119429014,0.3472450906246044,0.2,0.0,0.0,1.9799262496171186,17.67490655447602,36.23325450308598,8760.0,4.503925510419184,0.004530701838927082,98.0,0.0,100.0,0.0,165.2,417.65499999999975,721.9019999999998,0.015625,54.15400191402656,0.02885289996629581,nan,1732.9280612488499,50,5,
40003,high,moderate,SemiGreedy,50,49,280.9376273903433,434.7745025409493,0.0,0.5444444444444444,16.62972860601208,1.1049170904679515,0.34574683513858295,0.2,0.0,0.0,1.5590720001409766,20.8460796551622,37.87617548641379,4380.000000000001,2.2519627552095924,0.0003497353547771145,100.0,0.0,30.0,70.0,170.85000000000002,278.055,392.2719999999997,0.03125,131.57229949294327,0.023751200002152473,nan,2105.1567918870924,50,5,
40003,high,moderate,Fog-only,50,49,352.3012043465504,633.4589648901788,0.0,0.5444444444444444,5.552422926593795,0.5228088718531844,0.3604868316181716,0.2,0.0,0.0,1.8027891636891145,15.488236801983636,29.610525236471453,7300.0,3.7532712586826533,0.002321389774582224,100.0,0.0,100.0,0.0,17.9,31.93,38.55699999999998,0.015625,100.48102267126666,0.015550200012512505,nan,3215.392725480533,50,5,
40003,high,moderate,DRL-OO-2025,50,49,336.6755759597797,513.8214926394087,0.0,0.5444444444444444,7.39081389291477,0.5912564605713764,0.35166896650462837,0.30828025477707005,0.0,0.0,1.807386757402097,16.06738294504551,29.056230065700056,7300.0,3.7532712586826533,0.001250163835891402,100.0,0.0,90.0,10.0,216.15,450.1399999999998,557.4979999999998,0.03125,108.95714934697219,0.0286809999961406,nan,1743.314389551555,50,5,504
40004,high,moderate,DT-KF-CostAware,50,49,387.37379414431695,815.391610072818,0.0,0.5444444444444444,7.355858418222506,0.6686875391743402,0.3342495429719645,0.2,0.0,0.0,2.0915630555975175,16.45913080883464,32.865669402615055,21900.00000000002,2.2340624129710296,0.004278206929986442,100.0,0.0,98.0,2.0,170.8,289.4749999999999,406.6069999999999,0.015625,62.8378159789767,0.024865600047633052,nan,2010.8101113272544,50,5,
40004,high,moderate,DT-OPT,50,49,387.37379414431695,815.391610072818,0.0,0.5444444444444444,7.355858418222506,0.6686875391743402,0.3342495429719645,0.2,0.0,0.0,2.0915630555975175,16.45913080883464,32.865669402615055,21900.00000000002,2.2340624129710296,0.004278206929986442,100.0,0.0,98.0,2.0,172.85,417.0999999999999,491.83299999999986,0.03125,106.6032619359297,0.029314299987163395,nan,1705.652190974875,50,5,
40004,high,moderate,SemiGreedy,50,49,295.00749458566474,552.917263592764,0.0,0.5444444444444444,18.547450294327103,1.2457761208971316,0.3423459309339829,0.2,0.0,0.0,1.919757703961517,19.170272802086895,32.865669402615055,21899.999999999993,2.2340624129710265,0.002774275994054501,100.0,0.0,46.0,54.0,181.45,503.215,574.4299999999998,0.03125,105.58787959640642,0.029596199980005622,nan,1689.4060735425028,50,5,
40004,high,moderate,Fog-only,50,49,410.03615469480314,1066.1046327986855,0.0,0.5444444444444444,5.675321270273462,0.5830868585005226,0.3357052278266323,0.2,0.0,0.0,2.095164205952922,16.731216406871514,32.865669402615055,17520.00000000002,1.787249930376824,0.005182317208807275,100.0,0.0,100.0,0.0,18.15,27.879999999999995,30.712,0.015625,107.18940801219568,0.014576999994460493,nan,3430.061056390262,50,5,
40004,high,moderate,DRL-OO-2025,50,49,369.84094259482595,815.391610072818,0.0,0.5444444444444444,9.350097549600454,0.7696960053925027,0.33347870374724337,0.2,0.0,0.0,2.064594745145961,16.780355583957547,32.865669402615055,20440.000000000015,2.0851249187729604,0.0037179753035914715,100.0,0.0,90.0,10.0,216.3,414.2099999999998,705.188999999999,0.03125,111.5772561317435,0.028007499990053475,nan,1785.236098107896,50,5,505
40005,high,moderate,DT-KF-CostAware,50,49,369.89118643520703,621.3556996254779,0.0,0.5444444444444444,4.940679956537791,0.32551181979831983,0.34102700384873524,0.3291295407813571,0.0,0.0,2.00482254980707,23.492472342585863,41.885084212843054,2920.0,1.0895603698535063,0.0009746518492297493,100.0,0.0,100.0,0.0,169.8,351.73999999999984,512.7259999999997,0.03125,118.94068570541356,0.026273600000422448,nan,1903.050971286617,50,5,
40005,high,moderate,DT-OPT,50,49,369.89118643520703,621.3556996254779,0.0,0.5444444444444444,4.940679956537791,0.32551181979831983,0.34102700384873524,0.3291295407813571,0.0,0.0,2.00482254980707,23.492472342585863,41.885084212843054,2920.0,1.0895603698535063,0.0009746518492297493,100.0,0.0,100.0,0.0,171.1,314.0449999999999,433.61699999999973,0.03125,124.07243452297944,0.025186899991240352,nan,1985.158952367671,50,5,
40005,high,moderate,SemiGreedy,50,49,284.6591497354355,367.0903096991281,0.0,0.5444444444444444,15.600875899002313,1.0015264464838602,0.3424744864368712,0.2,0.0,0.0,1.7227455122732038,25.369377304079862,57.07835798402173,7300.0,2.723900924633766,0.00075027939231674,100.0,0.0,40.0,60.0,180.10000000000002,272.305,290.464,0.03125,123.87373991788135,0.02522730000782758,nan,1981.9798386861016,50,5,
40005,high,moderate,Fog-only,50,49,365.8697294769487,621.3556996254779,0.0,0.5444444444444444,5.267916283894447,0.3196190685381071,0.3564185083429856,0.2,0.0,0.0,2.037264242476689,26.189110330465684,46.71265134650072,2920.0,1.0895603698535063,0.0009746518492297493,100.0,0.0,100.0,0.0,17.9,25.14499999999999,32.492999999999995,0.015625,108.51749494627525,0.014398599974811077,nan,3472.559838280808,50,5,
40005,high,moderate,DRL-OO-2025,50,49,333.1623105569961,503.90263776782433,0.0,0.5444444444444444,8.969555214188683,0.5682011797939053,0.3467603790361799,0.22188183807439826,0.0,0.0,1.9270267432687802,25.517116495302023,50.32472840405677,1460.0,0.5447801849267532,0.000563958030824488,100.0,0.0,80.0,20.0,215.35,400.01,449.46899999999994,0.015625,56.48359357920487,0.0276628999854438,nan,1807.474994534556,50,5,501
40006,high,moderate,DT-KF-CostAware,50,49,368.77300683471805,678.2754164069795,0.0,0.5444444444444444,4.054049938552024,0.3152945695003569,0.35479155301774157,0.42990152193375114,0.0,0.0,1.8238035069893588,20.754992505471954,38.21889416973728,8760.0,2.2825220305065845,0.003509759740488354,100.0,0.0,100.0,0.0,167.5,307.5349999999998,422.9019999999998,0.015625,64.48404513427238,0.024230799986980855,nan,2063.489444296716,50,5,
40006,high,moderate,DT-OPT,50,49,368.77300683471805,678.2754164069795,0.0,0.5444444444444444,4.054049938552024,0.3152945695003569,0.35479155301774157,0.42990152193375114,0.0,0.0,1.8238035069893588,20.754992505471954,38.21889416973728,8760.0,2.2825220305065845,0.003509759740488354,100.0,0.0,100.0,0.0,168.55,305.79499999999985,398.86199999999997,0.03125,122.65676519267963,0.02547759999288246,nan,1962.508243082874,50,5,
40006,high,moderate,SemiGreedy,50,49,281.78662548631775,382.7050867271423,0.0,0.5444444444444444,15.246721073414221,0.9889067706619561,0.3497711204341303,0.2,0.0,0.0,1.545342853405001,23.731421867668995,42.23294579993101,8760.0,2.2825220305065845,0.0008787428670321712,100.0,0.0,38.0,62.0,175.6,285.44499999999994,429.7119999999996,0.03125,130.4278871651308,0.023959599959198385,nan,2086.846194642093,50,5,
40006,high,moderate,Fog-only,50,49,363.6741805586487,652.9164350575171,0.0,0.5444444444444444,4.144122205046355,0.31629318064154816,0.34739647640756216,0.2083297180043384,0.0,0.0,1.777281492661402,21.988965648736677,41.40169192090084,7300.0,1.9021016920888203,0.0023774673675068946,100.0,0.0,100.0,0.0,17.85,29.41,44.14899999999996,0.015625,107.18131990423903,0.014578100002836436,nan,3429.802236935649,50,5,
40006,high,moderate,DRL-OO-2025,50,49,352.95746149731684,678.2754164069795,0.0,0.5444444444444444,5.911342693906879,0.43293304332508803,0.35107409232761866,0.441002277904328,0.0,0.0,1.7747485598077262,21.93931713599441,41.40169192090084,7300.0,1.9021016920888203,0.0023774673675068946,100.0,0.0,90.0,10.0,217.0,420.8899999999998,509.2799999999998,0.03125,111.65579282265504,0.027987800014670938,nan,1786.4926851624807,50,5,502
40007,high,moderate,DT-KF-CostAware,50,49,371.0220457276012,712.7696993969985,2.0,0.5444444444444444,8.56011611530233,0.7078832051655084,0.3396649424873312,0.2,0.0,0.0,1.589157408425667,20.481022483659665,42.67864789873429,37960.0,1.8528786979475804,0.0030928360216253004,98.0,0.0,96.0,4.0,173.45,305.635,544.2129999999992,0.03125,109.3001295982141,0.028590999951120466,nan,1748.8020735714256,50,5,
40007,high,moderate,DT-OPT,50,49,371.0220457276012,712.7696993969985,2.0,0.5444444444444444,8.56011611530233,0.7078832051655084,0.3396649424873312,0.2,0.0,0.0,1.589157408425667,20.481022483659665,42.67864789873429,37960.0,1.8528786979475804,0.0030928360216253004,98.0,0.0,96.0,4.0,169.75,290.05499999999995,436.3779999999999,0.03125,123.72611589004384,0.025257400004193187,nan,1979.6178542407015,50,5,
40007,high,moderate,SemiGreedy,50,49,294.15046142813736,427.26125612343054,0.0,0.5444444444444444,19.245400190903904,1.2535575529007523,0.34162265976799083,0.2,0.0,0.0,1.6738753165151947,20.193775191506745,41.85474915507129,37960.00000000001,1.8528786979475809,0.0029111828109224308,100.0,0.0,28.0,72.0,179.9,399.68999999999977,598.8339999999998,0.03125,113.05587290000157,0.027641200053039938,nan,1808.8939664000252,50,5,
40007,high,moderate,Fog-only,50,49,426.81789043145125,964.531356690787,4.0,0.5444444444444444,5.2981958274780325,0.5320980795083059,0.3441757690988903,0.21699051061906913,0.0,0.0,1.584522575992727,20.45759353896541,42.67864789873429,20440.0,0.9977039142794665,0.0042093760585721176,96.0,0.0,100.0,0.0,18.2,32.455,39.216999999999985,0.015625,103.1618699127168,0.015146100020501763,nan,3301.1798372069375,50,5,
40007,high,moderate,DRL-OO-2025,50,49,342.61725570640374,696.3802354769985,2.0,0.5444444444444444,11.820649585274099,0.8759635633985786,0.336643980197416,0.2,0.0,0.0,1.6145646435003616,21.55645822180205,48.630011625947425,37960.0,1.8528786979475804,0.0030928360216253004,98.0,0.0,78.0,22.0,215.14999999999998,377.09999999999997,556.8619999999996,0.015625,54.43207757150894,0.028705499949865043,nan,1741.8264822882861,50,5,503
40008,high,moderate,DT-KF-CostAware,50,49,362.66781251644534,904.0298979769041,0.0,0.5444444444444444,5.891138580701438,0.3578016218374538,0.32832477208072175,0.2083297180043384,0.0,0.0,1.7245364102816765,23.367177044152744,35.89770464305341,13140.0,4.167591740936915,0.003928199664040781,100.0,0.0,100.0,0.0,173.25,298.61499999999984,338.342,0.03125,125.82186843354984,0.024836700002197176,nan,2013.1498949367974,50,5,
40008,high,moderate,DT-OPT,50,49,362.6682615807567,904.0298979769041,0.0,0.5444444444444444,5.915435151734711,0.356889525773497,0.32834437637660335,0.2,0.0,0.0,1.7262014471552307,23.53364607713194,35.89770464305341,13140.0,4.167591740936915,0.003928199664040781,100.0,0.0,100.0,0.0,169.2,339.1099999999998,488.86199999999985,0.015625,59.20713589079376,0.02639040001668036,nan,1894.6283485054003,50,5,
40008,high,moderate,SemiGreedy,50,49,280.35297605920533,489.213443736155,0.0,0.5444444444444444,15.43206691018264,0.9897941371274026,0.33515442907100734,0.2,0.0,0.0,1.548694070824763,23.625050701891492,44.48681275683766,8760.0,2.7783944939579435,0.0022291895080368542,100.0,0.0,54.0,46.0,180.8,465.7599999999998,668.3049999999996,0.03125,106.69425342491857,0.029289300029631704,nan,1707.1080547986971,50,5,
