seed,load,qos_regime,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,network_failure_rate_pct,mean_packet_loss_pct,mean_jitter_ms,p95_jitter_ms,retransmission_bytes,retransmission_overhead_pct,retransmission_energy_j,sla_success_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,policy_seed
10000,low,clean,DT-KF-CostAware,453,452,237.19991029702786,480.4431995771608,0.44150110375275936,5.022222222222222,81.66832866176385,3.324273923352667,0.2420179594396431,0.35464518816831,0.0,0.0,0.07752081574234802,2.5367160508531503,4.904338733030243,5.17559328727657e-11,1.1037688879649601e-15,0.0,99.55849889624724,0.0,100.0,0.0,781.5,1478.6599999999994,1900.3880000000054,1.140625,99.70633343637006,1.1439844999695197,nan,485.14643337806365,
10000,low,clean,DT-OPT,453,452,237.1274195369639,480.4431995771608,0.44150110375275936,5.022222222222222,81.74883966893069,3.324914986804289,0.24200792180597538,0.35357479093980176,0.0,0.0,0.07755510676884757,2.536642398188289,4.904338733030243,5.17559328727657e-11,1.1037688879649601e-15,0.0,99.55849889624724,0.0,100.0,0.0,296.3,580.0399999999995,785.5900000000012,0.484375,101.47077368681563,0.4773542000330053,nan,1162.6586714050616,
10000,low,clean,SemiGreedy,453,452,166.4604254975852,272.736554140711,0.0,5.022222222222222,247.47374008696832,8.823023714805924,0.2622981267097764,0.19258882840671582,0.0,0.0,0.06572912109697698,2.6929993315356353,5.279496374197207,1.4210854715202004e-13,3.030666908195937e-18,0.0,100.0,0.0,57.17439293598234,42.82560706401766,639.6,1482.56,2071.0740000000096,0.984375,96.06355813992597,1.0247121999855153,nan,541.6154897032017,
10000,low,clean,Fog-only,453,452,218.4309103587481,430.0058902323996,0.0,5.022222222222222,113.52634089037764,4.06565084932115,0.24013156868916422,0.31673074538013146,0.0,0.0,0.06978967753833554,2.3256933472910446,4.626422295456702,1460.0000000000075,0.031136576755180723,0.00020211515534722215,100.0,0.0,100.0,0.0,69.0,152.35999999999999,200.9120000000001,0.53125,70.24961522920468,0.7562319000135176,nan,733.901862629809,
10000,low,clean,DRL-OO-2025,453,452,239.51906203833326,528.3898225304512,0.44150110375275936,5.022222222222222,83.64183017923477,3.41129666248691,0.2382673242763203,0.3641626739676021,0.0,0.0,0.0746279648793806,2.314086830950405,4.450528555522685,1.503508428868372e-11,3.2064455888713014e-16,0.0,99.55849889624724,0.0,100.0,0.0,697.4,1928.689999999998,2431.022000000001,1.015625,100.29618048641903,1.0126257999800146,nan,548.0800509042468,501
10001,low,clean,DT-KF-CostAware,441,440,210.2973597118399,432.47775401953703,0.45351473922902497,4.888888888888889,92.83436022237737,3.724104358486432,0.23741802496064918,0.3844565182855146,0.0,0.0,0.07746042001463703,2.2402456127951025,4.319530415687868,1460.0000000000687,0.059284404750064204,0.00023032037394084688,99.54648526077098,0.0,100.0,0.0,547.2,1466.6599999999999,1689.0199999999975,0.921875,96.89427506063203,0.9514236000250094,nan,560.2131374353016,
10001,low,clean,DT-OPT,441,440,210.47519532507087,432.47775401953703,0.45351473922902497,4.888888888888889,92.75835518286372,3.71424542746627,0.23735786109871954,0.383506069538208,0.0,0.0,0.07740420369864567,2.2422004130558544,4.2864469395991245,1460.0000000000687,0.059284404750064204,0.00023032037394084688,99.54648526077098,0.0,100.0,0.0,453.0,927.8999999999994,1401.0919999999967,0.703125,98.87286689030108,0.711140500032343,nan,749.5002745248779,
10001,low,clean,SemiGreedy,441,441,162.16043093513744,248.19556398186648,0.0,4.9,216.0873680965979,7.967799618386432,0.25847166177000097,0.2650180742688137,0.0,0.0,0.07053555050348136,2.4299236893177305,4.610459600496287,1460.000000000002,0.0592844047500615,0.000654872182929763,100.0,0.0,57.59637188208617,42.40362811791383,474.1,1681.1999999999996,3160.7039999999934,0.828125,88.67824678304878,0.9338535999995656,nan,570.7532743893132,
10001,low,clean,Fog-only,441,440,203.61198904722661,430.97308252112043,0.0,4.888888888888889,94.962411890288,3.7828926120929642,0.23306172026133795,0.34242698664251753,0.0,0.0,0.07776588630358348,2.349564666112804,4.421271857897829,1460.0000000000693,0.05928440475006423,0.00023032037394084688,100.0,0.0,100.0,0.0,36.7,72.25999999999998,101.27999999999945,0.296875,98.1968494952971,0.3023264000075869,nan,1762.9952263071445,
10001,low,clean,DRL-OO-2025,441,440,219.88686278702724,477.20529984784935,0.45351473922902497,4.888888888888889,79.32169601937474,4.068261522402839,0.23597792094289505,0.33370104798676226,0.0,0.0,0.08216549901548283,2.23858152096742,4.301183704551808,2920.000000000001,0.11856880950012288,0.0008246130200509845,99.54648526077098,0.0,100.0,0.0,621.9,1095.5,1289.4879999999982,0.75,100.16524594397637,0.7487627000082284,nan,711.8410145085254,502
