qos_regime,load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
clean,low,mean_latency_ms,DRL-OO,30,14.960214867596587,8.411886073858863,3.1410463736641927,Jarque-Bera,0.1304666432365604,paired_t,9.741034384156706,1.192830278995416e-10,3.3399247811871646e-09,cohens_dz,1.7784614218786905,1.45169139983576,2.3550448380189093
clean,low,mean_latency_ms,DT-OPT,30,6.910159719181842,5.059955920215528,1.8894164821710016,Jarque-Bera,0.8611032963312096,paired_t,7.480006572860112,3.037704043862277e-08,8.201800918428148e-07,cohens_dz,1.3656561100807976,1.0034096907863257,1.9440299584258052
clean,low,mean_latency_ms,Fog-only,30,-3.985813386659105,3.5655276586556806,1.3313884215840504,Jarque-Bera,0.6590922869083666,paired_t,-6.12285224202232,1.1376782447225509e-06,2.844195611806377e-05,cohens_dz,-1.1178747630755685,-1.7506197766245943,-0.736529161535576
clean,low,mean_latency_ms,SemiGreedy,30,-50.28513428329531,6.255901700294234,2.33598947693482,Jarque-Bera,0.6282907005383996,paired_t,-44.02611114052802,0.0,0.0,cohens_dz,-8.038031396965565,-10.298508679618086,-6.852296509392214
clean,low,p95_latency_ms,DRL-OO,30,79.84349663895782,39.23811179922902,14.651735377088798,Jarque-Bera,0.3313826497054406,paired_t,11.14530801150946,5.334843677928802e-12,1.7071499769372167e-10,cohens_dz,2.0348455360822597,1.749438513879512,2.491231633367514
clean,low,p95_latency_ms,DT-OPT,30,29.483478683990473,24.22856826906819,9.04708597244714,Jarque-Bera,0.1246365060262546,paired_t,6.665175659413976,2.614825953539679e-07,6.798547479203165e-06,cohens_dz,1.216889019465135,0.9578797447270354,1.5991667817783417
clean,low,p95_latency_ms,Fog-only,30,-0.08474672985073918,23.159100126037043,8.647740450774338,Jarque-Bera,0.42204057611887646,paired_t,-0.0200429616701127,0.9841463706211304,1.0,cohens_dz,-0.0036593274086440483,-0.41731064065953966,0.35643240450971225
clean,low,p95_latency_ms,SemiGreedy,30,-186.98093688482655,28.966853881900217,10.816388921975053,Jarque-Bera,0.5878032486964125,paired_t,-35.35547124752195,0.0,0.0,cohens_dz,-6.454996377831029,-8.21353760605324,-5.407098797944149
clean,low,dmr_pct,DRL-OO,30,0.19174977180035052,0.26702394616723796,0.09970826880271155,Jarque-Bera,0.13066240337732374,paired_t,3.9331931431251497,0.00047949556484105926,0.010069406861662245,cohens_dz,0.7180995358380966,0.43869463028503203,1.0976163739536393
clean,low,dmr_pct,DT-OPT,30,0.2785028210333812,0.2998362188356432,0.11196055909431023,Jarque-Bera,0.42973129574529245,paired_t,5.087520046816759,1.9888266671985733e-05,0.00045743013345567185,cohens_dz,0.9288498304670926,0.6559265367629247,1.3347799328756331
clean,low,dmr_pct,Fog-only,30,-0.12520802664775155,0.18163895341874423,0.06782502413164261,Jarque-Bera,0.0690656101194286,paired_t,-3.775581134162406,0.0007331816880176145,0.013930452072334676,cohens_dz,-0.6893236516238962,-0.9536201320772452,-0.46182891695629325
clean,low,dmr_pct,SemiGreedy,30,-0.12520802664775155,0.18163895341874423,0.06782502413164261,Jarque-Bera,0.0690656101194286,paired_t,-3.775581134162406,0.0007331816880176145,0.013930452072334676,cohens_dz,-0.6893236516238962,-0.9720795520791502,-0.459254059959297
clean,low,throughput_tasks_s,DRL-OO,30,0.0,0.0029179207302160465,0.0010895682903703653,Jarque-Bera,8.194012623991097e-40,wilcoxon_signed_rank,1.5,1.0,1.0,rank_biserial,0.0,-1.0,1.0
clean,low,throughput_tasks_s,DT-OPT,30,0.0,0.0029179207302160465,0.0010895682903703653,Jarque-Bera,8.194012623991097e-40,wilcoxon_signed_rank,1.5,1.0,1.0,rank_biserial,0.0,-1.0,1.0
clean,low,throughput_tasks_s,Fog-only,30,-0.0011111111111111072,0.00339031751810404,0.0012659639529480338,Jarque-Bera,1.5431690447932024e-15,wilcoxon_signed_rank,0.0,0.08326451666355039,0.9625666150795604,rank_biserial,-1.0,-1.0,0.0
clean,low,throughput_tasks_s,SemiGreedy,30,-0.0037037037037036904,0.006074136373228134,0.0022681172641604323,Jarque-Bera,0.007617037691802188,wilcoxon_signed_rank,0.0,0.0038924171227785465,0.05449383971889965,rank_biserial,-1.0,-1.0,-1.0
clean,low,energy_j,DRL-OO,30,-23.58631304934087,11.490890402656847,4.290764201099135,Jarque-Bera,3.324490992215205e-06,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,4.162554307640676e-05,rank_biserial,-1.0,-1.0,-1.0
clean,low,energy_j,DT-OPT,30,-12.85072064868998,6.416403086304199,2.395921612494926,Jarque-Bera,0.6505300254983784,paired_t,-10.969743460333511,7.762235298969244e-12,2.406292942680466e-10,cohens_dz,-2.002791981089814,-2.7301911009844333,-1.6124780785425996
clean,low,energy_j,Fog-only,30,1.646394861264772,7.217705309779635,2.6951324459699877,Jarque-Bera,0.5007484234998731,paired_t,1.2493826851775915,0.2215154540100004,1.0,cohens_dz,0.22810502654271408,-0.1610726582284981,0.5897410021148534
clean,low,energy_j,SemiGreedy,30,125.24274035297391,10.44780478736172,3.901270066183797,Jarque-Bera,0.8613327125745247,paired_t,65.65807406553658,0.0,0.0,cohens_dz,11.987469416013106,9.952835257755002,16.392395452190723
