seed,load,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s
1000,low,DT-KF-CostAware,459,456,219.10914941693306,446.41453564820284,0.0,5.066666666666666,90.86393336815375,3.3913048878380083,0.24691404605703426,0.3728482901078724,0.0,0.0,100.0,0.0,142.45,205.84,372.825000000001,0.15625,94.48680812482493,0.16536700000870042,nan,3350.124268873793
1000,low,DT-OPT,459,456,219.10914941693306,446.41453564820284,0.0,5.066666666666666,90.86393336815375,3.3913048878380083,0.24691404605703426,0.3728482901078724,0.0,0.0,100.0,0.0,147.4,251.94000000000003,393.6190000000002,0.171875,98.67189777996052,0.17418840000755154,nan,3180.464370623891
1000,low,SemiGreedy,459,456,166.00913821895736,262.3044584701769,0.0,5.066666666666666,244.95458070637122,8.845107453286435,0.26926703000138963,0.27029056235453114,0.0,0.0,52.72331154684096,47.27668845315904,152.8,263.95500000000004,420.8980000000001,0.15625,91.73363956529909,0.1703300999943167,nan,3252.5079244272442
1000,low,Fog-only,459,456,212.92537259182808,428.5338943454306,0.0,5.066666666666666,107.23155633334007,3.864109182025028,0.2450347642661313,0.35401797875238356,0.0,0.0,100.0,0.0,8.3,10.9,19.840000000000053,0.078125,105.2506075776899,0.0742276000091806,nan,7463.531084549147
1001,low,DT-KF-CostAware,463,462,218.10400250339302,444.3830465685773,0.4319654427645788,5.133333333333334,115.93668720634265,3.984291878611496,0.2513707449998515,0.3867860249347637,0.0,0.0,100.0,0.0,136.6,214.42999999999998,395.882,0.15625,97.01329438169896,0.1610604000161402,nan,3476.9564706400906
1001,low,DT-OPT,463,462,218.1672747274166,444.3830465685773,0.4319654427645788,5.133333333333334,115.84984314589187,3.9852477966245083,0.2514070868653023,0.38705535890442755,0.0,0.0,100.0,0.0,139.64999999999998,207.51999999999998,325.89199999999994,0.171875,105.85873841823941,0.16236259997822344,nan,3449.0701680997277
1001,low,SemiGreedy,463,463,165.2345873305413,252.08350371845327,0.0,5.144444444444445,240.52658010191075,8.865948611396268,0.26398522480489867,0.2105035025250762,0.0,0.0,58.09935205183585,41.90064794816415,158.0,260.5999999999999,373.53799999999995,0.1875,106.9573625169119,0.1753035000001546,nan,3194.459893838435
1001,low,Fog-only,463,462,208.9183642394547,431.4869668145425,0.0,5.133333333333334,117.93841911877077,4.3891753247529115,0.24272183988604837,0.3315665854749714,0.0,0.0,100.0,0.0,8.4,13.704999999999995,21.94599999999998,0.078125,101.9396256418209,0.07663850000244565,nan,7307.032366005722
1002,low,DT-KF-CostAware,455,455,202.8158283295219,424.4433820195691,0.21978021978021978,5.055555555555555,101.76120736442252,3.582085061912855,0.23657935668219682,0.40985959549565243,0.0,0.0,100.0,0.0,144.85000000000002,247.24000000000004,373.4970000000006,0.171875,103.47501458734384,0.1661028999951668,nan,3275.0782798845116
1002,low,DT-OPT,455,455,202.73290701817817,424.4433820195691,0.21978021978021978,5.055555555555555,101.78811415911157,3.582707832858067,0.23662670651095605,0.40966494641358897,0.0,0.0,100.0,0.0,137.75,183.22500000000002,340.8680000000001,0.15625,100.92241471608851,0.1548219000105746,nan,3513.7147907553376
1002,low,SemiGreedy,455,455,160.55073371339617,250.946733170511,0.0,5.055555555555555,224.67754505969543,7.9487674604266125,0.2650879602160801,0.23052784804085333,0.0,0.0,61.0989010989011,38.9010989010989,150.55,211.64000000000001,330.3230000000007,0.15625,96.16390638216534,0.1624829999927897,nan,3348.0425646014683
1002,low,Fog-only,455,455,196.0736703376642,413.4408960431898,0.0,5.055555555555555,104.59172697181428,3.558464649359687,0.23924024689624465,0.3596131932574589,0.0,0.0,100.0,0.0,8.5,11.670000000000003,20.569000000000088,0.078125,105.66442465404215,0.0739369000075385,nan,7357.625217510263
1003,low,DT-KF-CostAware,458,455,217.57899367579316,455.9996765482554,0.2183406113537118,5.055555555555555,89.03221821225625,3.8432999376125223,0.24029851094832763,0.39314715221123314,0.0,0.0,100.0,0.0,142.6,189.55999999999997,285.9040000000002,0.171875,105.5633011268973,0.16281700000399724,nan,3396.451230439227
1003,low,DT-OPT,458,455,217.40749241616166,455.9996765482554,0.0,5.055555555555555,88.71952182773238,3.8363173081246527,0.239722781564259,0.3938052592333328,0.0,0.0,100.0,0.0,148.1,244.89999999999984,339.7600000000002,0.171875,100.40929017934268,0.17117439999128692,nan,3230.623270933905
1003,low,SemiGreedy,458,455,161.87394416719025,253.159667708584,0.0,5.055555555555555,227.86354613116578,8.384217265616321,0.25903674910807656,0.22182141621781884,0.0,0.0,58.73362445414847,41.26637554585153,155.1,237.5999999999998,330.896,0.171875,101.54280070060732,0.16926359999342822,nan,3267.0934567235404
1003,low,Fog-only,458,455,205.82397876519389,449.5847697619118,0.0,5.055555555555555,103.1189092229799,4.07016819834071,0.24050033149001337,0.3311213261167198,0.0,0.0,100.0,0.0,9.2,16.519999999999992,26.032000000000107,0.078125,94.59068413480642,0.08259270002599806,nan,6695.506985798138
1004,low,DT-KF-CostAware,449,446,215.87703351971783,488.5954046126639,1.1135857461024499,4.955555555555556,84.02372802300165,4.217919887772055,0.24242822324228477,0.3644431741564799,0.0,0.0,100.0,0.0,144.7,201.3049999999998,355.29,0.15625,93.79669199939326,0.16658369998913258,nan,3313.6495349545653
1004,low,DT-OPT,449,446,215.96928285620464,488.5954046126639,1.1135857461024499,4.955555555555556,84.04682392962786,4.212927188272185,0.24257280975800546,0.36790512547348486,0.0,0.0,100.0,0.0,141.4,205.245,347.4050000000009,0.171875,106.0490697913161,0.16207120000035502,nan,3405.910488716014
1004,low,SemiGreedy,449,447,163.178725308703,255.15873061753777,0.0,4.966666666666667,219.6932396230326,8.315631621226814,0.2616370225783635,0.2549578828679446,0.0,0.0,55.67928730512249,44.32071269487751,158.2,257.9299999999998,427.0620000000002,0.1875,105.897323083069,0.17705830000340939,nan,3117.6171915655514
1004,low,Fog-only,449,446,209.71705571131042,437.4859846619356,0.0,4.955555555555556,84.83080537695437,4.225779713485529,0.2399914354773146,0.3373928028658272,0.0,0.0,100.0,0.0,9.1,13.844999999999994,21.5,0.0625,76.20975361366195,0.08201050001662225,nan,6730.845439158623
1005,low,DT-KF-CostAware,459,457,205.85913310313006,421.63808753573915,0.0,5.0777777777777775,132.6656950488656,3.2212335416023654,0.2500993893320052,0.4212363856393707,0.0,0.0,100.0,0.0,150.3,260.3199999999996,452.96800000000115,0.171875,97.63261846239078,0.17604260001098737,nan,3152.646007076473
1005,low,DT-OPT,459,457,205.83547735535592,421.63808753573915,0.0,5.0777777777777775,132.63478429688405,3.2236376500659776,0.2499170581741465,0.4232853668423186,0.0,0.0,100.0,0.0,144.9,203.38999999999967,376.02000000000044,0.171875,102.223855826138,0.16813589999219403,nan,3300.90123540402
1005,low,SemiGreedy,459,457,161.03196998737164,259.0217550756446,0.0,5.0777777777777775,241.85363350618286,7.968292141236048,0.2673047718868971,0.2279211407458723,0.0,0.0,61.43790849673203,38.56209150326797,156.0,293.03999999999985,464.46800000000076,0.1875,103.83163659070414,0.1805807999917306,nan,3073.4164430848423
1005,low,Fog-only,459,457,198.76550617044094,415.0137935118503,0.0,5.0777777777777775,140.52204103708556,3.4063518030069933,0.2506755287255727,0.3254437962027999,0.0,0.0,100.0,0.0,9.1,15.829999999999997,24.396000000000093,0.078125,93.7772704195463,0.08330910000950098,nan,6661.937290604568
1006,low,DT-KF-CostAware,422,422,223.72148675387143,499.454208815006,0.23696682464454977,4.688888888888889,102.19808447582373,3.4361048814956403,0.2485029867527313,0.38967370374260407,0.0,0.0,100.0,0.0,152.64999999999998,284.35,431.05,0.171875,100.5099325767303,0.17100299999583513,nan,3075.9694275118627
