load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
low,mean_latency_ms,DT-OPT,30,-0.00384519369122908,0.08518465372049157,0.03180843693212854,Jarque-Bera,2.0545186520406465e-19,wilcoxon_signed_rank,91.0,0.3944570025144394,1.0,rank_biserial,-0.21212121212121213,-0.6381954887218044,0.2752539682539676
low,mean_latency_ms,Fog-only,30,-10.434777561757398,3.539575259593947,1.3216976473337818,Jarque-Bera,0.25549307860537995,paired_t,-16.147030742267475,4.440892098500626e-16,7.993605777301127e-15,cohens_dz,-2.948030991423094,-3.9243094877469167,-2.46049811974284
low,mean_latency_ms,SemiGreedy,30,-53.53923337939019,6.665467946543831,2.488923855891215,Jarque-Bera,0.9026311129281301,paired_t,-43.994879382220915,0.0,0.0,cohens_dz,-8.032329284120447,-10.888172250733327,-6.629176318246245
low,p95_latency_ms,DT-OPT,30,-0.1277331758162821,0.6996234173635106,0.2612433856979357,Jarque-Bera,3.412626851633071e-200,wilcoxon_signed_rank,0.0,0.31731050786291437,1.0,rank_biserial,-1.0,-1.0,0.0
low,p95_latency_ms,Fog-only,30,-30.119915010335852,20.361986184657876,7.603282106337418,Jarque-Bera,0.5964943817167264,paired_t,-8.10203716459136,6.193540125210006e-09,1.0529018212857011e-07,cohens_dz,-1.4792228389306281,-2.059378613894613,-1.1281400736847018
low,p95_latency_ms,SemiGreedy,30,-207.53546926942744,28.908427200525587,10.794572064965145,Jarque-Bera,0.764959555413822,paired_t,-39.321356783885804,0.0,0.0,cohens_dz,-7.179064700747682,-9.443173330538105,-6.075925529838578
low,dmr_pct,DT-OPT,30,-0.00727802037845706,0.03986335935263218,0.01488520638977436,Jarque-Bera,3.4126268516388905e-200,wilcoxon_signed_rank,0.0,0.31731050786291437,1.0,rank_biserial,-1.0,-1.0,0.0
low,dmr_pct,Fog-only,30,-0.4093842554173912,0.30291876010906404,0.1131115976370977,Jarque-Bera,0.19914988563654643,paired_t,-7.402281433438767,3.717904073496925e-08,5.576856110245387e-07,cohens_dz,-1.3514655060320295,-1.829439651414943,-1.0808289636099704
low,dmr_pct,SemiGreedy,30,-0.4165220141611457,0.30588729556851535,0.1142200657568669,Jarque-Bera,0.2740724878307138,paired_t,-7.458253616892868,3.214201060863786e-08,5.142721697382058e-07,cohens_dz,-1.3616845818555723,-1.8365692433121612,-1.0805147823005874
low,throughput_tasks_s,DT-OPT,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,0.0,0.0,cohens_dz,0.0,0.0,0.0
low,throughput_tasks_s,Fog-only,30,-0.00037037037037036905,0.002028602064833941,0.0007574916140574036,Jarque-Bera,3.412626851629773e-200,wilcoxon_signed_rank,0.0,0.31731050786291437,1.0,rank_biserial,-1.0,-1.0,0.0
low,throughput_tasks_s,SemiGreedy,30,-0.0022222222222222144,0.004520423357472053,0.0016879519372640448,Jarque-Bera,0.003468397872002917,wilcoxon_signed_rank,0.0,0.01430587843542952,0.1430587843542952,rank_biserial,-1.0,-1.0,-1.0
low,energy_j,DT-OPT,30,-0.04383503632886677,0.18996697124255374,0.07093475362103495,Jarque-Bera,4.697467566505927e-97,wilcoxon_signed_rank,86.0,0.30519775344657996,1.0,rank_biserial,-0.2554112554112554,-0.7102484472049689,0.2207860560492139
low,energy_j,Fog-only,30,13.998874594304791,11.115720296141763,4.15067353745611,Jarque-Bera,0.007231045936863273,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,2.2547169166386993e-05,rank_biserial,1.0,1.0,1.0
low,energy_j,SemiGreedy,30,133.18599153661197,13.327543224345286,4.97658086986889,Jarque-Bera,0.891201268722138,paired_t,54.73549826875773,0.0,0.0,cohens_dz,9.993289032694525,8.339999820453649,13.513752245536397
low,monetary_cost,DT-OPT,30,5.269461796893656e-06,0.002106034423830153,0.0007864052997984826,Jarque-Bera,8.881577125796128e-06,wilcoxon_signed_rank,94.0,0.45488884468908175,1.0,rank_biserial,0.18614718614718614,-0.30435817805383025,0.6696198830409351
low,monetary_cost,Fog-only,30,0.31514157503695445,0.28134480775748316,0.10505576043191658,Jarque-Bera,0.21424681047876282,paired_t,6.135181623974926,1.0999683703882823e-06,1.5399557185435953e-05,cohens_dz,1.120125789947415,0.8758983375774384,1.5083935763750087
low,monetary_cost,SemiGreedy,30,4.7837435788297045,0.39566204608748107,0.14774247108764268,Jarque-Bera,0.9176071384649921,paired_t,66.22227967921397,0.0,0.0,cohens_dz,12.090478796573823,10.050668805510014,16.03142523650693
low,run_cost_index,DT-OPT,30,-1.0319989518783878e-05,0.00012937558103793403,4.8309581952467005e-05,Jarque-Bera,3.867564991477767e-39,wilcoxon_signed_rank,105.0,0.7151447551766743,1.0,rank_biserial,0.09090909090909091,-0.4,0.5811123658949741
low,run_cost_index,Fog-only,30,-3.740785045463398e-05,0.005310652665125992,0.0019830280806373128,Jarque-Bera,0.07264955415353899,paired_t,-0.03858117789613872,0.9694886851632118,1.0,cohens_dz,-0.007043927142944962,-0.435658639790439,0.3190014811218044
low,run_cost_index,SemiGreedy,30,0.020227304063386145,0.005387854240824772,0.002011855590575113,Jarque-Bera,0.34311027067565986,paired_t,20.56282560334545,0.0,0.0,cohens_dz,3.754241142999027,3.2786966994785507,4.714369153644692
low,fairness,DT-OPT,30,-0.00013672510518368265,0.0011020421552839158,0.0004115088441624197,Jarque-Bera,0.005104841309330615,wilcoxon_signed_rank,72.0,0.5565794125211809,1.0,rank_biserial,-0.15789473684210525,-0.672514619883041,0.34642930856553134
low,fairness,Fog-only,30,0.03472184143942673,0.03335257767092531,0.012454043269936349,Jarque-Bera,0.777109558397028,paired_t,5.702088750720551,3.617151677293151e-06,3.978866845022466e-05,cohens_dz,1.0410542112220327,0.6896282349185323,1.5742949653917788
low,fairness,SemiGreedy,30,0.14246819969481347,0.047633314973640074,0.017786552260677563,Jarque-Bera,0.016142157952318804,wilcoxon_signed_rank,1.0,1.9209211048476504e-06,2.3051053258171805e-05,rank_biserial,0.9956989247311828,0.9741935483870968,1.0
medium,mean_latency_ms,DT-OPT,30,0.1575509088260238,0.7722296458318383,0.2883549666957576,Jarque-Bera,3.0659478091564174e-20,wilcoxon_signed_rank,150.0,0.1444093675986422,0.8664562055918532,rank_biserial,0.3103448275862069,-0.11726733407489803,0.682840192806822
medium,mean_latency_ms,Fog-only,30,-14.752162058241602,4.71384278573771,1.7601758580846154,Jarque-Bera,0.5671578431083824,paired_t,-17.141199438636434,0.0,0.0,cohens_dz,-3.1295405317453553,-4.90547820690528,-2.3937234456297936
medium,mean_latency_ms,SemiGreedy,30,-76.50384659232729,10.09204126487893,3.768425932018777,Jarque-Bera,0.4442667767944747,paired_t,-41.52072055071516,0.0,0.0,cohens_dz,-7.5806117498316725,-9.512352523108374,-6.533915862096882
medium,p95_latency_ms,DT-OPT,30,2.0637436071123263,6.190688939992493,2.3116386592390152,Jarque-Bera,2.3662792840298844e-19,wilcoxon_signed_rank,11.0,0.09260069782067593,0.7327271544924692,rank_biserial,0.6,-0.07142857142857142,1.0
medium,p95_latency_ms,Fog-only,30,-62.68703409640126,31.60044738959617,11.799787801182548,Jarque-Bera,6.0581932225699834e-05,wilcoxon_signed_rank,1.0,1.9209211048476504e-06,2.1662069460859357e-05,rank_biserial,-0.9956989247311828,-1.0,-0.9741935483870968
medium,p95_latency_ms,SemiGreedy,30,-306.5541514358305,45.354490948732014,16.935626335527378,Jarque-Bera,0.502212916103375,paired_t,-37.0209477222571,0.0,0.0,cohens_dz,-6.759069389233237,-9.312635232815685,-5.632282033032523
medium,dmr_pct,DT-OPT,30,0.007414215368482913,0.0706783399413894,0.026391696394868592,Jarque-Bera,0.04081262564097322,wilcoxon_signed_rank,18.0,0.5939546753269145,1.0,rank_biserial,0.2,-0.6,0.9285714285714286
medium,dmr_pct,Fog-only,30,-2.159641859049387,0.6637706049581946,0.24785574047751974,Jarque-Bera,0.7611787361253302,paired_t,-17.820683132062495,0.0,0.0,cohens_dz,-3.2535967138608144,-4.30129144905856,-2.665909674279863
medium,dmr_pct,SemiGreedy,30,-2.210603068178695,0.6607459807568659,0.24672632850072124,Jarque-Bera,0.7712448122127425,paired_t,-18.32469967875806,0.0,0.0,cohens_dz,-3.3456171245211537,-4.470447183906527,-2.752589712984557
medium,throughput_tasks_s,DT-OPT,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,0.0,0.0,cohens_dz,0.0,0.0,0.0
medium,throughput_tasks_s,Fog-only,30,-0.0007407407407407381,0.004997516056764467,0.0018661010800194511,Jarque-Bera,0.08114411399343109,paired_t,-0.8118441408859887,0.4234950884933484,1.0,cohens_dz,-0.1482217830472194,-0.49159604012508756,0.26276913640612176
medium,throughput_tasks_s,SemiGreedy,30,-0.008148148148148179,0.007107598110549911,0.002654017787994575,Jarque-Bera,0.6294367228961483,paired_t,-6.279089606952199,7.428505397477636e-07,9.657057016720927e-06,cohens_dz,-1.1463996727746555,-1.65209314649807,-0.834670581258634
medium,energy_j,DT-OPT,30,-0.060551827900380314,0.4747569474099325,0.1772769596426266,Jarque-Bera,2.382900658552995e-54,wilcoxon_signed_rank,118.0,0.03143608436149803,0.28292475925348226,rank_biserial,-0.4574712643678161,-0.8064627363737485,-0.04367816091954023
medium,energy_j,Fog-only,30,6.718978396814716,6.063851843845089,2.2642769620641108,Jarque-Bera,1.5279439426437361e-12,wilcoxon_signed_rank,7.0,3.5152372790392405e-06,3.5152372790392405e-05,rank_biserial,0.9698924731182795,0.8880645161290323,1.0
medium,energy_j,SemiGreedy,30,190.35001518702808,16.561816937478095,6.184277173512825,Jarque-Bera,0.5767568612709325,paired_t,62.95142467337403,0.0,0.0,cohens_dz,11.49330510689808,9.464644851012327,15.381500299906959
medium,monetary_cost,DT-OPT,30,-0.000525009878531583,0.024948681352669328,0.009315980316713489,Jarque-Bera,2.078136670044253e-35,wilcoxon_signed_rank,198.0,0.6732787363156976,1.0,rank_biserial,-0.0896551724137931,-0.49756978653530376,0.3448628105302186
medium,monetary_cost,Fog-only,30,0.2641578911396342,0.24298864852510696,0.09073335118781783,Jarque-Bera,0.23366393505179903,paired_t,5.9544030800773,1.805172455071613e-06,2.1662069460859357e-05,cohens_dz,1.087120294478859,0.8352250936668157,1.484485748690899
medium,monetary_cost,SemiGreedy,30,8.15201410427739,0.5718847350971359,0.21354503110938178,Jarque-Bera,0.5749239271994637,paired_t,78.07590830789708,0.0,0.0,cohens_dz,14.254645392646744,12.296346106836504,18.228623276601375
medium,run_cost_index,DT-OPT,30,3.838376265774546e-05,0.00024919698042399435,9.305157782882109e-05,Jarque-Bera,9.562048458627006e-11,wilcoxon_signed_rank,181.0,0.4299677487600704,1.0,rank_biserial,0.167816091954023,-0.24731182795698925,0.5700540282853956
medium,run_cost_index,Fog-only,30,-0.004788309180111768,0.002930430351462181,0.0010942394544952805,Jarque-Bera,0.6536399884926982,paired_t,-8.949760395935247,7.683680358638867e-10,1.15255205379583e-08,cohens_dz,-1.6339952177067003,-2.348822659713533,-1.231875789670225
medium,run_cost_index,SemiGreedy,30,-0.0017086216114465388,0.005363317164202472,0.002002693305818986,Jarque-Bera,0.24637484006863888,paired_t,-1.7449100438744203,0.09159089431155865,0.7327271544924692,cohens_dz,-0.318575530615783,-0.6673386999246351,0.03862198878052488
medium,fairness,DT-OPT,30,-0.0004590279516801873,0.0019727789102481005,0.0007366469288418899,Jarque-Bera,0.018394050448332352,wilcoxon_signed_rank,143.0,0.4091250905676249,1.0,rank_biserial,-0.18518518518518517,-0.6068783068783068,0.280010582010582
medium,fairness,Fog-only,30,0.02915114854544308,0.023027210085194958,0.008598491955148977,Jarque-Bera,0.06747072551977759,paired_t,6.933858498901998,1.2753778011465045e-07,1.7855289216051062e-06,cohens_dz,1.2659435701325115,0.9945761380190743,1.7597984949459426
medium,fairness,SemiGreedy,30,0.2556909415628714,0.035726132780859045,0.013340342324070992,Jarque-Bera,0.5396961133556357,paired_t,39.20035154735615,0.0,0.0,cohens_dz,7.156972268206502,5.556803468540328,10.903044029266328
