seed,load,algorithm,arrived_tasks,completed_tasks,mean_latency_ms,p95_latency_ms,dmr_pct,throughput_tasks_s,energy_j,monetary_cost,run_cost_index,fairness,rejection_rate_pct,local_pct,fog_pct,cloud_pct,decision_median_us,decision_p95_us,decision_p99_us,cpu_s,cpu_utilization_pct,wall_s,peak_memory_kib,simulator_throughput_tasks_s,task_count,fog_nodes
4000,high,DT-KF-CostAware,50,49,307.2677194179768,698.0494424221629,0.0,0.5444444444444444,2.9545920782821464,0.29738196718723253,0.3170831085702892,0.3998334721065778,0.0,0.0,100.0,0.0,647.4,1046.965,1163.3519999999996,0.078125,96.37423178211203,0.08106419999967329,49.40234375,616.7950834055171,50,5
4000,high,DT-OPT,50,49,307.0478809198683,698.0494424221629,0.0,0.5444444444444444,2.9587306700181633,0.2974812753829075,0.3175836288304412,0.3998334721065778,0.0,0.0,100.0,0.0,637.35,920.7199999999998,1287.004999999999,0.046875,59.40665582334963,0.07890530000440776,46.87890625,633.6709954490627,50,5
4000,high,SemiGreedy,50,49,239.84427358410016,340.1809689146015,0.0,0.5444444444444444,11.608753510102373,0.7853045279177328,0.32252785591137034,0.2,0.0,0.0,50.0,50.0,719.0,1260.86,1326.2179999999998,0.09375,104.48930641921578,0.08972210000501946,46.83203125,557.2763009024842,50,5
4000,high,Fog-only,50,49,302.6773685723074,698.0494424221629,0.0,0.5444444444444444,3.2435427031357285,0.30284821649057075,0.3218037053373644,0.2,0.0,0.0,100.0,0.0,41.35,80.33,106.58999999999997,0.046875,98.09912664407386,0.04778330001863651,41.765625,1046.3906842034546,50,5
4001,high,DT-KF-CostAware,50,49,319.37437275839,708.1293107548729,0.0,0.5444444444444444,4.8018853255856575,0.4388814144320532,0.33407496912178997,0.3739130434782609,0.0,0.0,88.0,12.0,612.7,936.3399999999999,1102.0359999999994,0.0625,82.91631952087141,0.07537720000254922,46.2109375,663.3305561669713,50,5
4001,high,DT-OPT,50,49,322.0946651488493,708.1293107548729,0.0,0.5444444444444444,4.7430373672684345,0.4304822679365362,0.33173148677582887,0.3552353506243996,0.0,0.0,88.0,12.0,592.85,747.7299999999999,905.4849999999997,0.078125,112.48711347767934,0.0694523999991361,46.0390625,719.9175262571479,50,5
4001,high,SemiGreedy,50,49,242.53428122308193,338.22673408569227,0.0,0.5444444444444444,13.228200589986958,0.8806777508765711,0.317192392478898,0.2,0.0,0.0,42.0,58.0,660.35,913.2249999999999,1255.166,0.0625,83.90624516167901,0.07448790001217276,46.40234375,671.2499612934321,50,5
4001,high,Fog-only,50,49,313.35542528669606,682.1431467470638,0.0,0.5444444444444444,3.645708131346078,0.33801944387794836,0.32338162545357396,0.2,0.0,0.0,100.0,0.0,39.6,60.05499999999999,78.36299999999996,0.046875,107.21049163453087,0.04372240000520833,41.765625,1143.5785774349959,50,5
4002,high,DT-KF-CostAware,50,49,387.783980487758,836.6082911086705,0.0,0.5444444444444444,8.08493097163335,0.7519634911107363,0.355447901647914,0.4231974921630094,0.0,0.0,92.0,8.0,616.05,694.0649999999999,874.1689999999994,0.0625,84.80268110786251,0.07370050001190975,46.0625,678.4214488629001,50,5
4002,high,DT-OPT,50,49,391.48084612317797,836.6082911086705,0.0,0.5444444444444444,7.800222979245395,0.7373043506653334,0.35718030829950176,0.44083333333333335,0.0,0.0,94.0,6.0,601.85,993.4999999999994,1202.772,0.078125,103.55033506462583,0.07544640000560321,46.40625,662.7221444136053,50,5
