seed,load,algorithm,fog_node_id,completed_tasks
1004,low,DT-OPT,fog-2,1
1004,low,DT-OPT,fog-3,205
1004,low,DT-OPT,fog-4,28
1004,low,DT-OPT,fog-5,23
1004,low,DT-OPT,fog-6,0
1004,low,DT-OPT,fog-7,151
1004,low,DT-OPT,fog-8,38
1004,low,SemiGreedy,fog-1,0
1004,low,SemiGreedy,fog-2,0
1004,low,SemiGreedy,fog-3,150
1004,low,SemiGreedy,fog-4,2
1004,low,SemiGreedy,fog-5,0
1004,low,SemiGreedy,fog-6,0
1004,low,SemiGreedy,fog-7,87
1004,low,SemiGreedy,fog-8,9
1004,low,Fog-only,fog-1,0
1004,low,Fog-only,fog-2,3
1004,low,Fog-only,fog-3,216
1004,low,Fog-only,fog-4,17
1004,low,Fog-only,fog-5,1
1004,low,Fog-only,fog-6,0
1004,low,Fog-only,fog-7,154
1004,low,Fog-only,fog-8,55
1005,low,DT-KF-CostAware,fog-1,16
1005,low,DT-KF-CostAware,fog-2,0
1005,low,DT-KF-CostAware,fog-3,7
1005,low,DT-KF-CostAware,fog-4,0
1005,low,DT-KF-CostAware,fog-5,147
1005,low,DT-KF-CostAware,fog-6,157
1005,low,DT-KF-CostAware,fog-7,124
1005,low,DT-KF-CostAware,fog-8,6
1005,low,DT-OPT,fog-1,18
1005,low,DT-OPT,fog-2,0
1005,low,DT-OPT,fog-3,7
1005,low,DT-OPT,fog-4,0
1005,low,DT-OPT,fog-5,146
1005,low,DT-OPT,fog-6,156
1005,low,DT-OPT,fog-7,125
1005,low,DT-OPT,fog-8,5
1005,low,SemiGreedy,fog-1,20
1005,low,SemiGreedy,fog-2,0
1005,low,SemiGreedy,fog-3,0
1005,low,SemiGreedy,fog-4,0
1005,low,SemiGreedy,fog-5,64
1005,low,SemiGreedy,fog-6,197
1005,low,SemiGreedy,fog-7,0
1005,low,SemiGreedy,fog-8,0
1005,low,Fog-only,fog-1,66
1005,low,Fog-only,fog-2,0
1005,low,Fog-only,fog-3,2
1005,low,Fog-only,fog-4,0
1005,low,Fog-only,fog-5,138
1005,low,Fog-only,fog-6,238
1005,low,Fog-only,fog-7,13
1005,low,Fog-only,fog-8,0
1006,low,DT-KF-CostAware,fog-1,5
1006,low,DT-KF-CostAware,fog-2,1
1006,low,DT-KF-CostAware,fog-3,1
1006,low,DT-KF-CostAware,fog-4,199
1006,low,DT-KF-CostAware,fog-5,113
1006,low,DT-KF-CostAware,fog-6,54
1006,low,DT-KF-CostAware,fog-7,7
1006,low,DT-KF-CostAware,fog-8,42
1006,low,DT-OPT,fog-1,5
1006,low,DT-OPT,fog-2,1
1006,low,DT-OPT,fog-3,1
1006,low,DT-OPT,fog-4,201
1006,low,DT-OPT,fog-5,111
1006,low,DT-OPT,fog-6,54
1006,low,DT-OPT,fog-7,7
1006,low,DT-OPT,fog-8,42
1006,low,SemiGreedy,fog-1,0
1006,low,SemiGreedy,fog-2,0
1006,low,SemiGreedy,fog-3,0
1006,low,SemiGreedy,fog-4,192
1006,low,SemiGreedy,fog-5,0
1006,low,SemiGreedy,fog-6,55
1006,low,SemiGreedy,fog-7,11
1006,low,SemiGreedy,fog-8,2
1006,low,Fog-only,fog-1,0
1006,low,Fog-only,fog-2,0
1006,low,Fog-only,fog-3,1
1006,low,Fog-only,fog-4,224
1006,low,Fog-only,fog-5,9
1006,low,Fog-only,fog-6,116
1006,low,Fog-only,fog-7,54
1006,low,Fog-only,fog-8,18
1007,low,DT-KF-CostAware,fog-1,205
1007,low,DT-KF-CostAware,fog-2,0
1007,low,DT-KF-CostAware,fog-3,98
1007,low,DT-KF-CostAware,fog-4,0
1007,low,DT-KF-CostAware,fog-5,8
1007,low,DT-KF-CostAware,fog-6,24
1007,low,DT-KF-CostAware,fog-7,109
1007,low,DT-KF-CostAware,fog-8,9
1007,low,DT-OPT,fog-1,204
1007,low,DT-OPT,fog-2,0
1007,low,DT-OPT,fog-3,98
1007,low,DT-OPT,fog-4,0
1007,low,DT-OPT,fog-5,8
1007,low,DT-OPT,fog-6,25
1007,low,DT-OPT,fog-7,109
1007,low,DT-OPT,fog-8,9
1007,low,SemiGreedy,fog-1,176
1007,low,SemiGreedy,fog-2,54
