task_count,fog_nodes,algorithm,decision_median_us_n,decision_median_us_mean,decision_median_us_sd,decision_median_us_ci95,decision_p95_us_n,decision_p95_us_mean,decision_p95_us_sd,decision_p95_us_ci95,decision_p99_us_n,decision_p99_us_mean,decision_p99_us_sd,decision_p99_us_ci95,peak_memory_kib_n,peak_memory_kib_mean,peak_memory_kib_sd,peak_memory_kib_ci95,cpu_utilization_pct_n,cpu_utilization_pct_mean,cpu_utilization_pct_sd,cpu_utilization_pct_ci95,simulator_throughput_tasks_s_n,simulator_throughput_tasks_s_mean,simulator_throughput_tasks_s_sd,simulator_throughput_tasks_s_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95
1000,50,DT-KF-CostAware,10,3379.8949999999995,237.3915301423648,169.80046334105032,10,5871.459999999999,1340.4151693971523,958.766796340688,10,9082.331399999997,3484.9276541182994,2492.685101378538,10,842.941796875,5.20589964299507,3.7236550560900556,10,96.16692670952985,2.5376368864382712,1.815110753320268,10,102.89097372540581,9.990778064531005,7.146163738350753,10,0.13180911777439883,0.010387353917217075,0.007429824926665194,10,0.16,0.3533962208186286,0.25277583409143917
1000,50,DT-OPT,10,3420.2699999999995,282.23331975119055,201.8747190992666,10,5850.109499999999,743.7856106449626,532.0119940175665,10,8683.911199999997,2562.232070123917,1832.703097846108,10,842.6828125,2.8477641892932746,2.036937368987261,10,96.50285090791314,1.8311959960902475,1.3098105413362024,10,101.19935154372095,9.00882324308635,6.4437950246848175,10,0.12934708733130368,0.007999308566035297,0.0057217134078299085,10,0.15,0.3374742788552764,0.2413872511835099
1000,50,Fog-only,10,240.18,32.930829864361996,23.55463215482294,10,444.95199999999994,104.26781185965305,74.58026305617959,10,660.1682999999998,207.88809334567483,148.69736317893836,10,808.23515625,0.8186880410186437,0.5855879045616136,10,96.84680079923369,2.324255339570901,1.6624840546980346,10,153.12091839271375,23.72855152827259,16.97246334566525,10,0.10985508916480795,0.0035001685910693273,0.00250358657774749,10,0.0,0.0,0.0
1000,50,SemiGreedy,10,3856.1449999999995,568.9788638185273,406.97692394379504,10,5903.331999999999,951.7519315983083,680.7653115265545,10,8225.7604,2293.659793343099,1640.599794874031,10,852.185546875,3.1533862930377703,2.255541523869958,10,97.62981554944025,1.7116244029737062,1.2242838508875573,10,97.09803209075751,11.580273133580722,8.283091408184205,10,0.06548699468383148,0.007527898567643417,0.005384525151355294,10,0.0,0.0,0.0
200,10,DT-KF-CostAware,10,922.6450000000001,35.828251189994376,25.627088081500585,10,1412.8559999999995,141.1301860930773,100.94703452832492,10,1840.5627999999992,292.3826301204946,209.13427718992995,10,165.509765625,0.5173393546471731,0.3700404225499083,10,96.93583422075992,2.2025790388939375,1.5754519174512547,10,414.57272638150715,19.91827046109298,14.247060757465377,10,0.19896989082009076,0.040861627675475916,0.029227341464138808,10,0.0,0.0,0.0
200,10,DT-OPT,10,929.135,19.306677745162588,13.809603167977187,10,1424.4349999999997,141.91481838686806,101.50826317434327,10,1869.446899999999,204.5624336982342,146.31859865978555,10,166.149609375,0.8834058240019942,0.6318789812920607,10,97.8321161909638,3.111171046280864,2.2253459711681383,10,409.3410347180931,7.695374233372704,5.504316475090095,10,0.19049118098556808,0.03538420441093431,0.025309472079007644,10,0.0,0.0,0.0
200,10,Fog-only,10,62.075,2.4121509534484433,1.7253536775236775,10,101.24249999999996,11.80133166920866,8.441209272594142,10,141.1850999999998,18.515426105757737,13.243639862926933,10,156.3984375,0.07628030477019172,0.05456147102639869,10,100.40649572820206,2.362527839097122,1.6898594549445185,10,674.3136032850267,34.151443686488825,24.427707923083634,10,0.15357252536776644,0.029128789094846452,0.02083512365374819,10,0.0,0.0,0.0
200,10,SemiGreedy,10,1019.235,44.21492363696023,31.625873575365535,10,1570.7759999999994,144.33869356482336,103.24200290823713,10,2090.607699999998,311.3421616789152,222.69557502316954,10,168.143359375,0.29953039643346185,0.2142469028639274,10,98.40324412491483,2.717920053856728,1.944062975591584,10,389.76331227114576,22.252300713442917,15.91653657264452,10,0.1302031502660747,0.04001601501220759,0.028622495023560613,10,0.0,0.0,0.0
50,5,DT-KF-CostAware,10,617.1899999999999,28.547988837511244,20.41969117077386,10,882.2139999999999,121.90288919190279,87.19421057265365,10,1171.2621999999994,302.85834391851654,216.62730381840996,10,46.18515625,1.1862189270459076,0.8484739253987953,10,93.59096059529664,10.477767725079504,7.4944957532033705,10,667.2141928831115,41.97028538181078,30.02033771008487,10,0.3782411555111503,0.0695193809779138,0.04972554452197009,10,0.0,0.0,0.0
50,5,DT-OPT,10,615.815,39.70848670834316,28.402527409487135,10,883.1489999999998,124.36391218695407,88.95452124844769,10,1116.2318999999995,184.94915222565584,132.28968920507577,10,45.968359375,0.455481517533555,0.32579499645206655,10,92.71585767680908,14.7431798239391,10.545442643737056,10,675.1662808891253,45.36656758936622,32.449616851316385,10,0.37665260879454326,0.07267327537768113,0.05198144948238748,10,0.0,0.0,0.0
50,5,Fog-only,10,38.99,4.007548433200084,2.866503200055139,10,63.68699999999999,18.514837623436556,13.243218935648086,10,85.34549999999996,26.753571829030783,19.136187756459464,10,41.765625,0.0,0.0,10,94.0870200725975,23.15085964898063,16.559254210894057,10,1152.6163880464453,136.3788769459958,97.54853714230958,10,0.2016659436008677,0.003512117488082878,0.002512133336968843,10,0.0,0.0,0.0
50,5,SemiGreedy,10,683.03,43.40293256861286,31.045075854606534,10,999.9219999999999,172.98643816785173,123.73304698362216,10,1238.1950999999995,237.7253851767478,170.0392618335365,10,46.546484375,0.23127617215353072,0.16542629456014357,10,103.09325345615532,11.462023328680687,8.198510161119605,10,637.507838551948,58.61090557001773,41.922973901635004,10,0.2,0.0,0.0,10,0.0,0.0,0.0
500,25,DT-KF-CostAware,10,1875.6599999999999,216.38373424184283,154.77409118891998,10,3061.986499999999,525.5390380787352,375.90545928940026,10,4583.553299999999,1582.4887137253174,1131.916192045254,10,420.04765625,1.7041667462561105,1.2189495680455078,10,96.87983800079925,2.942146205660446,2.1044465598189537,10,194.57094928679155,25.98994980888291,18.589987254862887,10,0.15417172861106032,0.016557118667918497,0.011842909558396215,10,0.18,0.4467164151400254,0.31952552910097565
500,25,DT-OPT,10,1848.8350000000003,197.08552719004456,140.97054690458205,10,3126.896999999998,538.5722606278352,385.2278105389879,10,4283.047599999999,852.0241397668128,609.4324158212509,10,420.79609375,1.7986402485507205,1.2865241965651366,10,97.36427123745977,1.5880559071763978,1.1358982718900394,10,197.22662461156364,25.16341170697007,17.998784390170684,10,0.15057097562100918,0.014478592859724968,0.01035618993918345,10,0.13999999999999999,0.3272783388968954,0.23409434006704177
500,25,Fog-only,10,123.5,13.343579396515432,9.54434205296893,10,221.04149999999996,44.323727408566256,31.703698301550492,10,339.06429999999983,83.18531326976463,59.500457863453214,10,400.846875,0.3551695741927955,0.25404427119372486,10,97.16895986731012,2.657624920364204,1.900935313883935,10,311.63392477289415,45.22004307277753,32.34481138166604,10,0.1197030197182182,0.006124362064099869,0.004380609179817261,10,0.0,0.0,0.0
500,25,SemiGreedy,10,1976.5700000000002,205.97359215847717,147.3279664339989,10,3614.343499999998,503.50555605480264,360.1454384730014,10,4871.001699999999,1017.9580358401636,728.1209487286532,10,424.93515625,0.7467177164700712,0.5341092589341785,10,97.42996674049265,1.9652370080983799,1.4056868598048302,10,185.77332159565753,21.354057795877008,15.274044974464749,10,0.07449878225106775,0.014492564082929362,0.010366183219786699,10,0.0,0.0,0.0
