load,algorithm,mean_latency_ms_n,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_n,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,dmr_pct_n,dmr_pct_mean,dmr_pct_sd,dmr_pct_ci95,throughput_tasks_s_n,throughput_tasks_s_mean,throughput_tasks_s_sd,throughput_tasks_s_ci95,energy_j_n,energy_j_mean,energy_j_sd,energy_j_ci95,monetary_cost_n,monetary_cost_mean,monetary_cost_sd,monetary_cost_ci95,run_cost_index_n,run_cost_index_mean,run_cost_index_sd,run_cost_index_ci95,fairness_n,fairness_mean,fairness_sd,fairness_ci95,rejection_rate_pct_n,rejection_rate_pct_mean,rejection_rate_pct_sd,rejection_rate_pct_ci95,local_pct_n,local_pct_mean,local_pct_sd,local_pct_ci95,fog_pct_n,fog_pct_mean,fog_pct_sd,fog_pct_ci95,cloud_pct_n,cloud_pct_mean,cloud_pct_sd,cloud_pct_ci95
high,Accuracy-dominant,20,435.7744519887424,12.320170979287356,5.765983054181663,20,995.9754293509692,64.65781634544564,30.260608720041866,20,12.752189393033527,2.4118594431497833,1.128778220825803,20,17.55888888888889,0.5009425813260189,0.23444694395068547,20,210.79278717522934,22.974472005299386,10.752319629657434,20,18.605413937271457,1.6831501017609394,0.7877337888178474,20,0.2605964463001834,0.019877381529852425,0.009302845330257119,20,0.9441431221709458,0.018652976157305576,0.008729809400688997,20,2.081519592544665,2.1965746907290025,1.0280224572597914,20,0.0,0.0,0.0,20,84.83589222804656,6.238128114812886,2.919516381736601,20,13.082588179408779,4.366525570603935,2.0435846619402644
high,Cost-dominant,20,463.6369496868853,18.496695606591345,8.65666828855416,20,1094.055030155528,103.84511325858394,48.60071863574133,20,16.196296700087522,2.675853603262871,1.2523305527028588,20,17.526111111111113,0.4942985526271599,0.23133746138315267,20,210.28293084201027,23.530657737432264,11.012621009552836,20,18.393672944460707,1.7536741512021488,0.8207398627330492,20,0.25099402220415784,0.023377356112675062,0.0109408740693509,20,0.9176445785756995,0.027297971521575072,0.01277576759864416,20,2.2136578314548916,2.157280489572555,1.009632314917076,20,0.0,0.0,0.0,20,84.44840056786686,6.30864574857249,2.9525194530383265,20,13.337941600678253,4.439333463806936,2.077659601251168
high,Energy-dominant,20,451.0613383449321,12.312804920013013,5.7625356529221055,20,1029.073809929796,70.74750616548003,33.11065425646931,20,13.642254447160564,2.4573089665183128,1.150049125426409,20,17.566111111111113,0.5047850950679204,0.23624528499307135,20,200.45559415105362,23.140241181074565,10.829901528482722,20,18.46894530236339,1.6028888969329984,0.7501706131343164,20,0.22548391555344588,0.02362775452021598,0.011058063431178938,20,0.9606184826108237,0.01609314388747897,0.007531778179029657,20,2.0293199130188055,2.203979515677486,1.031488001304912,20,0.0,0.0,0.0,20,85.01866449669322,6.44882040952651,3.0181228217777183,20,12.952015590287985,4.4788433664336305,2.0961506943862296
high,LHS-0.30,20,438.03265441619004,12.172125080287966,5.696695854652801,20,998.8114652598679,59.61730816360724,27.901592371177415,20,12.947640738329856,1.2522114525672894,0.5860494978433198,20,17.837222222222223,0.4086344714461337,0.19124567683955776,20,196.57886333368145,19.926018211873117,9.32560786210951,20,17.88640668229104,1.7325679618395855,0.8108619210707552,20,0.38149246346751997,0.01232105517464145,0.005766396867872794,20,0.9325519185920192,0.01882961604998878,0.008812478921235111,20,0.5329213583363172,0.3801421339910076,0.1779109321175502,20,0.0,0.0,0.0,20,90.91571656570207,3.7589514031890503,1.7592328977186122,20,8.551362075961624,3.427353327029833,1.6040411482576902
high,LHS-0.70,20,422.1761591723205,12.672032910120812,5.930658522891328,20,932.3524673437963,30.979023158767205,14.498542501468215,20,26.101860769705592,4.260558205835999,1.993990704959032,20,14.458888888888888,0.6241105431816238,0.29209098006605044,20,358.146798116917,21.860240442307333,10.23084632206717,20,25.29436550487862,1.4019872578658181,0.6561463136042065,20,0.5127912394849561,0.02893370603668184,0.013541310342417937,20,0.9196633265150437,0.04324223704272514,0.020237868973769887,20,19.30532750911565,3.7411840655922117,1.7509175774463914,20,0.0,0.0,0.0,20,36.74010660637509,7.510241453911088,3.5148801935351752,20,43.95456588450925,4.915017093433293,2.300285062552668
high,Latency-dominant,20,362.30767735558953,10.92915553167438,5.114971675157338,20,696.5409687868448,22.52578149096768,10.542327259701027,20,8.81883630020254,2.650606263931911,1.2405145047770443,20,17.555555555555554,0.5086771438222615,0.23806680899637525,20,290.5178560472367,16.26552895871643,7.612456393741137,20,22.71142581751083,1.3413988591824741,0.6277902395955345,20,0.45358205827030595,0.02146670424325097,0.010046666811995363,20,0.8393491739447756,0.031161372579929722,0.014583884147629664,20,2.150156064761083,2.199735857988469,1.0295019202380373,20,0.0,0.0,0.0,20,80.86059076450742,6.078606759709284,2.8448585355221434,20,16.98925317073149,4.195599692790134,1.9635893666921371
high,Price-x0.5,20,426.19397320493306,11.308248938828216,5.292391790939484,20,964.2790992964658,52.27387787631106,24.464781740277925,20,12.254738517766187,2.3927467973558154,1.1198332806984406,20,17.55,0.5039609193053901,0.23585956116761422,20,216.46210818172472,23.627940670528837,11.058150551686541,20,9.449297518343224,0.8563685052673559,0.400790402812419,20,0.3768610358682367,0.018965352344574492,0.008876005082985174,20,0.9347568950612697,0.020915734209270922,0.009788806439389185,20,2.127409672526346,2.2165081119309056,1.0373515298071827,20,0.0,0.0,0.0,20,84.90642452957871,6.464441311018802,3.025433585033116,20,12.96616579789494,4.598851389127675,2.1523158422874267
high,Price-x2,20,426.19397320493306,11.308248938828216,5.292391790939484,20,964.2790992964658,52.27387787631106,24.464781740277925,20,12.254738517766187,2.3927467973558154,1.1198332806984406,20,17.55,0.5039609193053901,0.23585956116761422,20,216.46210818172472,23.627940670528837,11.058150551686541,20,37.797190073372896,3.4254740210694234,1.603161611249676,20,0.413952404699469,0.020416190460551417,0.009555014165338648,20,0.9347568950612697,0.020915734209270922,0.009788806439389185,20,2.127409672526346,2.2165081119309056,1.0373515298071827,20,0.0,0.0,0.0,20,84.90642452957871,6.464441311018802,3.025433585033116,20,12.96616579789494,4.598851389127675,2.1523158422874267
high,Reference,20,426.19397320493306,11.308248938828216,5.292391790939484,20,964.2790992964658,52.27387787631106,24.464781740277925,20,12.254738517766187,2.3927467973558154,1.1198332806984406,20,17.55,0.5039609193053901,0.23585956116761422,20,216.46210818172472,23.627940670528837,11.058150551686541,20,18.898595036686448,1.7127370105347117,0.801580805624838,20,0.39014907633459156,0.019664797567887127,0.009203353567980164,20,0.9347568950612697,0.020915734209270922,0.009788806439389185,20,2.127409672526346,2.2165081119309056,1.0373515298071827,20,0.0,0.0,0.0,20,84.90642452957871,6.464441311018802,3.025433585033116,20,12.96616579789494,4.598851389127675,2.1523158422874267
high,Refresh-15s,20,427.4944109404216,11.793953542695846,5.519707184528345,20,970.7874542537404,49.697821915564305,23.259157642912626,20,11.827983653682944,2.234109671482506,1.0455892640295668,20,17.70722222222222,0.4656808719111595,0.21794405455983404,20,210.53875661894784,19.366219739132394,9.063615677666103,20,18.61511882976221,1.5885012415091166,0.74343702335679,20,0.38450936446419287,0.017652547296561263,0.008261597078987952,20,0.9343885949368111,0.021431081133194373,0.010029994782908357,20,1.274564202056855,1.641960401289506,0.7684565307891734,20,0.0,0.0,0.0,20,87.1394181013519,5.0876772981896305,2.381092042945254,20,11.586017696591254,3.7278814590729676,1.744691803153538
